self, opp, fightsavoided
8, 5, 5
9, 6, 7
9, 1, 7
5, 9, 0
0, 1, 8
5, 7, 0
2, 3, 6
1, 8, 0
9, 7, 0
6, 7, 0
3, 6, 7
9, 4, 6
0, 6, 7
4, 8, 0
2, 5, 3
9, 0, 10
1, 4, 7
7, 1, 3
5, 3, 5
3, 7, 0
3, 0, 4
6, 3, 5
3, 5, 3
2, 0, 11
5, 4, 10
7, 2, 13
2, 6, 12
4, 6, 4
6, 9, 0
5, 6, 4
3, 9, 0
7, 6, 8
1, 5, 5
3, 1, 10
8, 6, 10
8, 1, 9
9, 5, 4
4, 2, 7
8, 9, 0
2, 9, 0
6, 4, 10
5, 2, 9
1, 2, 7
1, 6, 4
9, 8, 0
7, 5, 7
8, 3, 4
4, 7, 0
3, 8, 0
4, 0, 4
8, 2, 8
0, 8, 0
2, 1, 10
0, 5, 12
5, 0, 7
9, 3, 8
1, 3, 5
7, 3, 11
6, 5, 8
7, 4, 7
9, 2, 10
6, 2, 3
2, 8, 0
5, 8, 0
7, 9, 0
0, 9, 0
5, 1, 9
3, 2, 8
8, 0, 9
4, 3, 5
3, 4, 10
4, 5, 8
7, 8, 0
4, 9, 0
0, 3, 4
2, 4, 8
6, 1, 4
6, 8, 0
8, 4, 8
8, 7, 0
2, 7, 0
1, 9, 0
0, 2, 7
1, 7, 0
0, 7, 0
7, 0, 5
1, 0, 14
4, 1, 5
0, 4, 7
6, 0, 5
