winner, loser, victorycount
9, 1, 6
2, 8, 1
6, 7, 2
8, 1, 9
3, 9, 6
4, 0, 0
6, 8, 6
0, 7, 7
3, 1, 4
0, 9, 4
2, 1, 3
6, 1, 5
8, 5, 20
0, 1, 6
8, 6, 1
1, 2, 2
0, 2, 4
0, 3, 5
4, 9, 6
9, 0, 2
7, 1, 4
0, 8, 6
6, 3, 4
1, 7, 4
7, 0, 5
5, 3, 6
3, 6, 5
3, 8, 3
4, 5, 13
1, 6, 6
3, 4, 1
5, 6, 5
1, 4, 4
2, 9, 4
5, 1, 1
9, 2, 4
2, 0, 6
8, 7, 3
3, 0, 3
2, 7, 0
6, 4, 3
8, 2, 4
5, 2, 2
9, 4, 5
4, 7, 2
0, 6, 5
5, 9, 8
0, 4, 5
1, 9, 5
7, 2, 1
2, 5, 11
4, 8, 1
4, 3, 3
1, 8, 2
6, 0, 2
1, 5, 20
1, 0, 3
4, 6, 7
8, 3, 4
7, 3, 5
7, 5, 17
6, 9, 5
5, 0, 6
8, 9, 3
7, 6, 5
9, 3, 1
4, 1, 1
5, 7, 2
7, 9, 6
3, 5, 17
5, 8, 4
3, 2, 1
1, 3, 1
8, 4, 3
7, 4, 2
9, 8, 6
2, 6, 4
6, 5, 13
2, 4, 5
9, 6, 7
2, 3, 7
5, 4, 3
0, 5, 19
9, 7, 5
9, 5, 10
6, 2, 2
8, 0, 2
3, 7, 2
7, 8, 4
4, 2, 3
