approaching, opponent, attackcount
7, 1, 1
4, 6, 4
1, 4, 5
2, 0, 3
7, 5, 5
9, 5, 7
0, 3, 5
3, 1, 5
1, 8, 6
1, 2, 3
0, 4, 4
1, 5, 11
4, 2, 6
3, 5, 3
8, 9, 7
6, 8, 8
8, 1, 7
6, 1, 2
4, 1, 7
9, 8, 5
6, 9, 3
4, 9, 7
3, 2, 11
5, 0, 4
0, 1, 2
4, 3, 3
4, 0, 10
5, 4, 5
2, 7, 1
0, 5, 4
7, 3, 6
8, 3, 7
4, 5, 1
3, 0, 3
2, 9, 3
9, 1, 4
8, 4, 4
3, 7, 3
2, 5, 6
8, 7, 6
3, 6, 2
8, 5, 3
5, 6, 1
2, 6, 4
5, 2, 6
3, 9, 11
4, 8, 2
3, 8, 5
0, 9, 4
8, 2, 4
6, 7, 2
5, 1, 7
8, 0, 8
3, 4, 7
2, 3, 8
5, 7, 5
2, 1, 2
5, 3, 2
5, 8, 4
0, 6, 5
9, 2, 6
7, 9, 3
1, 6, 4
6, 2, 6
7, 0, 7
2, 4, 5
6, 0, 7
0, 7, 2
9, 6, 6
9, 7, 6
1, 9, 9
7, 6, 4
6, 3, 1
2, 8, 9
7, 8, 4
0, 8, 6
9, 3, 3
1, 3, 6
6, 4, 3
9, 0, 6
1, 0, 7
1, 7, 9
9, 4, 13
5, 9, 2
8, 6, 11
6, 5, 3
7, 4, 5
0, 2, 2
4, 7, 3
7, 2, 5
