self, opp, fightsavoided
6, 0, 6
2, 9, 9
1, 0, 6
7, 3, 6
5, 6, 4
2, 3, 7
4, 6, 2
8, 1, 12
5, 4, 4
7, 8, 7
0, 8, 4
7, 1, 2
4, 5, 6
9, 2, 6
4, 1, 8
6, 1, 4
2, 8, 3
2, 7, 3
3, 2, 7
7, 0, 4
0, 6, 3
0, 1, 5
4, 9, 1
1, 4, 3
9, 3, 4
9, 1, 8
3, 7, 8
3, 0, 1
4, 2, 7
8, 0, 2
1, 9, 5
8, 2, 6
3, 8, 5
0, 2, 7
6, 9, 5
9, 8, 4
9, 6, 4
7, 9, 8
6, 7, 4
4, 3, 7
4, 0, 1
6, 8, 5
2, 5, 3
2, 1, 0
4, 8, 4
9, 4, 7
3, 1, 7
2, 4, 6
5, 7, 5
9, 0, 7
5, 0, 5
1, 3, 6
7, 4, 3
0, 4, 11
5, 8, 5
2, 0, 7
1, 2, 4
1, 5, 2
7, 2, 9
1, 6, 3
5, 1, 4
8, 7, 2
6, 3, 7
3, 5, 3
9, 5, 8
9, 7, 9
6, 4, 8
8, 6, 4
8, 4, 5
7, 5, 5
0, 9, 3
1, 8, 2
5, 3, 6
8, 3, 8
2, 6, 1
6, 2, 9
3, 6, 3
7, 6, 6
0, 5, 9
8, 9, 1
0, 3, 1
0, 7, 6
4, 7, 2
1, 7, 1
5, 9, 9
6, 5, 6
5, 2, 4
3, 4, 1
8, 5, 7
3, 9, 3
