winner, loser, victorycount
4, 0, 5
3, 5, 9
1, 7, 8
5, 3, 6
4, 8, 4
3, 0, 14
1, 6, 7
8, 1, 4
0, 6, 5
0, 9, 5
8, 2, 4
4, 6, 6
4, 3, 14
0, 4, 8
5, 9, 6
2, 3, 6
6, 7, 7
4, 9, 6
8, 9, 1
2, 1, 5
0, 2, 4
9, 4, 2
9, 1, 2
3, 1, 13
9, 7, 3
3, 6, 12
4, 1, 4
6, 2, 2
2, 7, 3
0, 8, 6
8, 6, 4
8, 3, 5
0, 3, 3
5, 6, 6
6, 1, 4
9, 2, 5
9, 8, 1
4, 2, 7
7, 5, 6
9, 5, 6
1, 4, 4
7, 0, 4
3, 2, 11
7, 8, 1
7, 2, 2
8, 7, 2
7, 3, 3
1, 5, 3
3, 9, 17
5, 4, 6
6, 8, 3
3, 7, 10
6, 3, 8
1, 2, 5
5, 0, 3
4, 7, 6
7, 4, 5
0, 1, 4
1, 3, 5
6, 4, 4
2, 9, 4
7, 9, 4
5, 7, 4
1, 9, 5
6, 5, 3
9, 0, 3
6, 9, 3
6, 0, 4
0, 5, 2
9, 3, 6
4, 5, 4
2, 4, 6
7, 1, 3
7, 6, 4
1, 8, 1
8, 5, 5
2, 5, 5
5, 1, 4
3, 4, 12
1, 0, 3
2, 0, 2
2, 6, 3
5, 2, 3
2, 8, 2
5, 8, 1
9, 6, 4
8, 4, 4
3, 8, 9
0, 7, 1
8, 0, 2
