approaching, opponent, attackcount
1, 2, 2
9, 0, 3
2, 0, 10
4, 0, 5
8, 9, 1
0, 8, 13
1, 5, 1
3, 1, 20
7, 2, 8
4, 8, 5
9, 5, 1
6, 1, 3
6, 0, 0
3, 6, 17
8, 3, 2
9, 8, 3
0, 9, 10
8, 5, 2
5, 2, 2
5, 7, 0
6, 9, 1
4, 3, 2
4, 7, 4
5, 0, 2
0, 6, 8
1, 6, 4
5, 1, 0
0, 7, 12
5, 9, 0
8, 2, 2
6, 3, 1
9, 7, 0
8, 4, 3
9, 4, 1
6, 4, 2
1, 7, 3
9, 6, 1
2, 1, 4
3, 8, 14
5, 4, 0
7, 6, 1
7, 4, 3
6, 5, 7
1, 0, 1
2, 3, 4
6, 2, 0
1, 4, 2
8, 1, 2
7, 0, 1
0, 3, 8
4, 5, 1
5, 6, 2
0, 5, 11
7, 1, 7
0, 2, 18
0, 4, 19
7, 8, 7
4, 1, 1
2, 8, 2
9, 1, 2
5, 8, 3
7, 9, 5
5, 3, 3
8, 7, 3
2, 7, 5
7, 3, 4
3, 5, 18
3, 4, 10
4, 6, 2
2, 4, 3
3, 0, 15
2, 9, 6
9, 2, 4
1, 9, 2
1, 3, 3
4, 9, 3
1, 8, 2
0, 1, 13
8, 6, 2
8, 0, 3
6, 8, 3
4, 2, 7
6, 7, 3
2, 6, 8
3, 2, 12
7, 5, 3
2, 5, 7
9, 3, 2
3, 9, 11
3, 7, 14
