self, opp, fightsavoided
0, 9, 6
5, 3, 6
1, 3, 5
3, 5, 8
3, 2, 3
5, 4, 8
3, 6, 2
7, 2, 4
1, 7, 4
9, 7, 7
8, 4, 12
0, 7, 4
7, 1, 4
3, 7, 6
5, 8, 1
9, 2, 3
2, 1, 0
0, 4, 2
4, 7, 4
7, 5, 9
4, 6, 6
9, 8, 4
2, 7, 0
0, 3, 11
9, 6, 4
2, 5, 0
5, 9, 7
3, 1, 6
5, 6, 6
8, 6, 8
8, 9, 8
2, 4, 0
1, 8, 12
8, 3, 13
3, 4, 8
7, 6, 5
8, 5, 4
0, 1, 2
1, 0, 7
8, 0, 4
1, 4, 5
9, 5, 11
4, 1, 8
3, 0, 7
6, 4, 6
2, 3, 0
8, 2, 7
3, 8, 7
0, 2, 5
1, 2, 5
6, 7, 4
7, 9, 5
2, 9, 0
4, 9, 4
8, 1, 5
5, 7, 4
4, 2, 7
9, 0, 7
5, 1, 2
4, 8, 7
4, 0, 5
7, 0, 1
5, 0, 7
1, 5, 4
6, 8, 1
0, 8, 2
6, 3, 8
6, 5, 5
7, 4, 7
6, 9, 8
0, 5, 1
6, 1, 7
9, 1, 5
2, 0, 0
2, 6, 0
6, 2, 7
9, 3, 6
1, 9, 7
9, 4, 1
5, 2, 2
4, 5, 5
6, 0, 7
2, 8, 0
8, 7, 5
3, 9, 3
4, 3, 6
7, 3, 4
7, 8, 5
0, 6, 8
1, 6, 4
