winner, loser, victorycount
7, 6, 11
2, 3, 1
6, 9, 3
3, 7, 22
8, 7, 2
9, 7, 6
3, 6, 15
7, 3, 11
4, 6, 4
9, 4, 4
5, 8, 5
1, 6, 1
1, 0, 2
8, 2, 4
2, 4, 2
7, 0, 14
0, 2, 4
2, 1, 1
2, 7, 3
2, 0, 3
8, 5, 3
1, 2, 1
4, 7, 4
5, 7, 2
4, 0, 1
9, 0, 4
8, 0, 2
4, 2, 7
0, 4, 3
5, 3, 6
4, 5, 3
8, 3, 2
6, 4, 2
3, 5, 13
2, 6, 1
0, 5, 1
5, 9, 4
2, 9, 1
0, 8, 0
1, 5, 2
5, 6, 2
5, 1, 3
4, 9, 2
3, 2, 20
5, 4, 5
3, 1, 15
5, 2, 4
6, 2, 2
9, 2, 2
5, 0, 2
1, 7, 1
9, 6, 7
3, 4, 19
6, 3, 2
2, 5, 0
1, 3, 1
8, 9, 6
1, 9, 4
3, 0, 17
6, 8, 9
7, 9, 6
8, 6, 4
9, 5, 8
6, 1, 0
8, 1, 2
9, 8, 9
1, 4, 2
6, 5, 5
0, 7, 1
3, 8, 15
4, 8, 1
7, 1, 11
0, 6, 3
7, 4, 8
2, 8, 2
0, 1, 5
3, 9, 10
7, 2, 7
6, 0, 0
1, 8, 6
8, 4, 0
7, 8, 8
6, 7, 3
4, 3, 3
0, 3, 5
0, 9, 1
7, 5, 9
9, 1, 3
4, 1, 4
9, 3, 6
