variable,strategy,distribution,triangle.transitivity,escalation,dci,steepness,slope
rhp,mutual,clumped,0.416666667,0.5,0.215077605,-0.174099697,-0.010360216
rhp,mutual,clumped,0.024390244,0.500554939,0.259423503,-0.137640314,0.0033741
rhp,mutual,clumped,0.298969072,0.500554939,0.254988914,-0.163475358,0.022565614
rhp,mutual,clumped,-0.164556962,0.5,0.253333333,-0.136138503,0.00822439
rhp,mutual,clumped,-0.012048193,0.500554939,0.281596452,-0.215213263,0.024675977
rhp,mutual,clumped,-0.219047619,0.5,0.231111111,-0.076450309,0.045461174
rhp,mutual,clumped,0.222222222,0.5,0.222222222,-0.151419587,0.030981384
rhp,mutual,clumped,0.157894737,0.5,0.24,-0.144445122,-0.008458758
rhp,mutual,clumped,-0.4,0.5,0.244444444,-0.126435806,-0.003426842
rhp,mutual,clumped,0.170731707,0.500554939,0.263858093,-0.173905756,-0.017134997
rhp,self,clumped,0.047619048,0.499445061,0.208888889,-0.152322208,0.022463023
rhp,self,clumped,-0.037037037,0.5,0.253333333,-0.182216637,0.007598299
rhp,self,clumped,0.222222222,0.5,0.262222222,-0.179664127,0.006828212
rhp,self,clumped,0.314285714,0.5,0.275555556,-0.264508975,-0.002903691
rhp,self,clumped,0.151515152,0.5,0.217777778,-0.185927771,0.014368732
rhp,self,clumped,0.130434783,0.500554939,0.246119734,-0.189091301,0.021206873
rhp,self,clumped,0.157894737,0.5,0.288888889,-0.215397813,0.022342344
rhp,self,clumped,0.133333333,0.500554939,0.268292683,-0.165874571,-0.03906071
rhp,self,clumped,0.111111111,0.5,0.315555556,-0.13239377,-0.028244778
rhp,self,clumped,-0.2,0.5,0.253333333,-0.153938632,-0.012787073
rhp,opponent,clumped,-0.263157895,0.499445061,0.311111111,-0.163599555,-0.002040128
rhp,opponent,clumped,0.438596491,0.5,0.244444444,-0.212338144,0.044796674
rhp,opponent,clumped,0.19047619,0.500554939,0.259423503,-0.172922587,0.003562071
rhp,opponent,clumped,0.265306122,0.5,0.288888889,-0.21393403,0.01938992
rhp,opponent,clumped,0.042253521,0.5,0.177777778,-0.130041364,-0.023820433
rhp,opponent,clumped,-0.142857143,0.500554939,0.241685144,-0.118412598,-0.004443642
rhp,opponent,clumped,-0.161290323,0.5,0.222222222,-0.119712718,-0.065715463
rhp,opponent,clumped,0.2,0.5,0.248888889,-0.169651811,0.005517642
rhp,opponent,clumped,0.047619048,0.5,0.24,-0.157747704,0.008801452
rhp,opponent,clumped,-0.128205128,0.5,0.248888889,-0.14304232,0.00924665
history,mutual,clumped,-0.041666667,0.499445061,0.293333333,-0.221657143,-0.027552296
history,mutual,clumped,-0.038461538,0.5,0.293333333,-0.168286125,-0.034586451
history,mutual,clumped,0.218390805,0.5,0.266666667,-0.242430396,-0.01730766
history,mutual,clumped,0.235955056,0.5,0.235555556,-0.137901549,-0.033243639
history,mutual,clumped,0.662650602,0.5,0.271111111,-0.242976544,-0.034373934
history,mutual,clumped,0.03030303,0.5,0.226666667,-0.142074939,-0.048852849
history,mutual,clumped,0.282051282,0.5,0.226666667,-0.189605621,-0.044374924
history,mutual,clumped,-0.076923077,0.5,0.2,-0.12579323,-0.01555275
history,mutual,clumped,0.051546392,0.5,0.297777778,-0.130162985,-0.05388576
history,mutual,clumped,-0.263157895,0.500554939,0.268292683,-0.123683856,-0.03609638
history,self,clumped,0.047619048,0.499445061,0.266666667,-0.210055342,-0.025540504
history,self,clumped,0.142857143,0.5,0.275555556,-0.223537059,-0.025351729
history,self,clumped,0.268292683,0.5,0.275555556,-0.243974432,-0.018436684
history,self,clumped,0.288888889,0.5,0.262222222,-0.202613515,-0.037622465
history,self,clumped,0.421052632,0.5,0.24,-0.23132133,-0.025416756
history,self,clumped,-0.082352941,0.5,0.213333333,-0.12098682,-0.051208725
history,self,clumped,-0.046153846,0.5,0.244444444,-0.149977448,-0.041215011
history,self,clumped,0.244444444,0.5,0.271111111,-0.179528412,-0.034429112
history,self,clumped,-0.142857143,0.500554939,0.254988914,-0.134884752,-0.040333417
history,self,clumped,0.020408163,0.5,0.302222222,-0.211608588,-0.029322915
history,opponent,clumped,-0.142857143,0.499445061,0.24,-0.147687952,-0.031188663
history,opponent,clumped,-0.108433735,0.5,0.253333333,-0.187968771,-0.040515535
history,opponent,clumped,0.092783505,0.5,0.257777778,-0.213406084,-0.040109509
history,opponent,clumped,0.505617978,0.5,0.275555556,-0.234265198,-0.000499013
history,opponent,clumped,0.459459459,0.5,0.262222222,-0.237572747,-0.03025801
history,opponent,clumped,0.333333333,0.5,0.302222222,-0.21517841,-0.023382049
history,opponent,clumped,0.146067416,0.5,0.266666667,-0.205933521,-0.018696586
history,opponent,clumped,0.070707071,0.5,0.297777778,-0.210294813,-0.038530938
history,opponent,clumped,0.022222222,0.500554939,0.237250554,-0.175248998,-0.029447454
history,opponent,clumped,0.50617284,0.5,0.262222222,-0.21826468,-0.017360851
rhp,mutual,uniform,0.857142857,0.5,0.422222222,-0.387806759,0.000212003
rhp,mutual,uniform,0.1,0.5,0.297777778,-0.26438105,-0.00031356
rhp,mutual,uniform,0.815384615,0.5,0.413333333,-0.410064435,0.000288719
rhp,mutual,uniform,0.714285714,0.5,0.373333333,-0.332983632,0.000126005
rhp,mutual,uniform,0.813953488,0.5,0.511111111,-0.473549565,0.000456642
rhp,mutual,uniform,0.657142857,0.5,0.342222222,-0.319885174,0.000302119
rhp,mutual,uniform,0.885714286,0.5,0.422222222,-0.405332414,0.000185972
rhp,mutual,uniform,0.482352941,0.5,0.36,-0.317047215,9.51E-05
rhp,mutual,uniform,0.75257732,0.5,0.413333333,-0.361467514,0.000250856
rhp,mutual,uniform,0.50617284,0.5,0.351111111,-0.31509909,0.00031255
rhp,self,uniform,0.666666667,0.5,0.431111111,-0.368106957,0.000776411
rhp,self,uniform,0.80952381,0.5,0.448888889,-0.425768341,0.000240593
rhp,self,uniform,0.793814433,0.5,0.435555556,-0.461638114,0.000680342
rhp,self,uniform,0.678571429,0.5,0.568888889,-0.454608636,0.000396127
rhp,self,uniform,0.833333333,0.5,0.408888889,-0.371808304,0.000438817
rhp,self,uniform,0.666666667,0.5,0.248888889,-0.235504624,0.000546476
rhp,self,uniform,0.333333333,0.5,0.391111111,-0.372325432,0.000430554
rhp,self,uniform,0.761904762,0.500554939,0.445676275,-0.441035918,0.000658522
