variable,strategy,distribution,triangle.transitivity,escalation,dci,steepness,slope
rhp,mutual,clumped,1,0.500554939,0.964523282,-0.890841201,0.009525172
rhp,mutual,clumped,1,0.5,0.76940133,-0.810563469,0.013807291
rhp,mutual,clumped,1,0.500554939,0.955654102,-0.890489804,0.012564366
rhp,mutual,clumped,1,0.5,0.937777778,-0.888588452,0.012948112
rhp,mutual,clumped,1,0.500554939,0.942350333,-0.875938363,0.013302352
rhp,mutual,clumped,0.966666667,0.5,0.888888889,-0.854127262,0.015003614
rhp,mutual,clumped,1,0.499445061,0.88,-0.870254185,0.012364975
rhp,mutual,clumped,1,0.5,0.915555556,-0.859481259,0.014060837
rhp,mutual,clumped,1,0.5,0.942222222,-0.850352739,0.014287905
rhp,mutual,clumped,1,0.500554939,0.915742794,-0.870631814,0.013452873
rhp,self,clumped,1,0.5,0.915555556,-0.842802153,0.016182695
rhp,self,clumped,1,0.5,0.955555556,-0.883892759,0.014985155
rhp,self,clumped,1,0.5,0.977777778,-0.863328048,0.015909827
rhp,self,clumped,1,0.5,0.911111111,-0.843430998,0.01919338
rhp,self,clumped,1,0.5,0.96,-0.865717153,0.015919738
rhp,self,clumped,1,0.5,0.933481153,-0.856664372,0.015083871
rhp,self,clumped,1,0.5,0.902222222,-0.818518976,0.019812823
rhp,self,clumped,0.966666667,0.500554939,0.849223947,-0.847929347,0.012198565
rhp,self,clumped,0.964285714,0.5,0.924444444,-0.84552604,0.012840307
rhp,self,clumped,1,0.5,0.888888889,-0.861318484,0.022275777
rhp,opponent,clumped,1,0.5,0.96,-0.884507288,0.012905627
rhp,opponent,clumped,1,0.5,0.924444444,-0.882381394,0.012876669
rhp,opponent,clumped,1,0.500554939,0.924611973,-0.876831238,0.011743259
rhp,opponent,clumped,0.966666667,0.5,0.866666667,-0.844251255,0.014812219
rhp,opponent,clumped,1,0.499445061,0.942222222,-0.886762594,0.009194431
rhp,opponent,clumped,1,0.500554939,0.898004435,-0.859227608,0.014056768
rhp,opponent,clumped,1,0.5,0.937777778,-0.885864652,0.013990515
rhp,opponent,clumped,1,0.5,0.933333333,-0.879316806,0.012949045
rhp,opponent,clumped,1,0.499445061,0.888888889,-0.86074955,0.014303609
rhp,opponent,clumped,1,0.5,0.92,-0.879340904,0.014863149
history,mutual,clumped,1,0.5,0.973333333,-0.8819651,0.009354175
history,mutual,clumped,0.933333333,0.5,0.884444444,-0.838152501,0.008250897
history,mutual,clumped,1,0.5,0.96,-0.88349904,0.006159915
history,mutual,clumped,1,0.499445061,0.937777778,-0.884904194,0.009811238
history,mutual,clumped,1,0.5,0.937777778,-0.874717862,0.010467035
history,mutual,clumped,0.928571429,0.5,0.848888889,-0.828395595,0.010405691
history,mutual,clumped,1,0.499445061,0.946666667,-0.886702236,0.010585664
history,mutual,clumped,1,0.5,0.933333333,-0.881966771,0.008560063
history,mutual,clumped,1,0.499445061,0.937777778,-0.880744088,0.009813729
history,mutual,clumped,1,0.500554939,0.924611973,-0.865016511,0.01024272
history,self,clumped,0.933333333,0.5,0.791111111,-0.834824683,0.009052897
history,self,clumped,1,0.499445061,0.946666667,-0.883067975,0.00733942
history,self,clumped,0.966666667,0.5,0.92,-0.862323693,0.008089523
history,self,clumped,1,0.499445061,0.906666667,-0.872381548,0.010721986
history,self,clumped,1,0.5,0.822222222,-0.848057078,0.007764592
history,self,clumped,1,0.5,0.884444444,-0.852735725,0.009812549
history,self,clumped,1,0.5,0.951111111,-0.881061986,0.009709856
history,self,clumped,1,0.5,0.955555556,-0.883224333,0.007765676
history,self,clumped,0.928571429,0.500554939,0.866962306,-0.835329325,0.006880302
history,self,clumped,1,0.5,0.897777778,-0.865400319,0.010560883
history,opponent,clumped,1,0.499445061,0.951111111,-0.857312501,0.011286098
history,opponent,clumped,1,0.5,0.928888889,-0.867326272,0.009949288
history,opponent,clumped,1,0.5,0.928888889,-0.871634897,0.011681484
history,opponent,clumped,1,0.5,0.946666667,-0.872903532,0.006434476
