"triangle.transitivity","escalation","dci","steepness","slope","variable","strategy","distribution"
0.966666666666667,0.5,0.866666666666667,-0.855271922769249,0.0121894340245404,"rhp","mutual","clumped"
1,0.5,0.897777777777778,-0.853097907190223,0.0114588989839534,"rhp","mutual","clumped"
1,0.5,0.924444444444444,-0.86302321119166,0.0114157280877754,"rhp","mutual","clumped"
0.964285714285714,0.5,0.888888888888889,-0.871707829207829,0.0138903295919853,"rhp","mutual","clumped"
1,0.5,0.942222222222222,-0.878078982160744,0.0132847315156338,"rhp","mutual","clumped"
1,0.5,0.946666666666667,-0.8886470862273,0.013796808113285,"rhp","mutual","clumped"
1,0.500554938956715,0.915742793791574,-0.866199685891967,0.0131820024238365,"rhp","mutual","clumped"
0.964285714285714,0.5,0.884444444444444,-0.840683180091427,0.0135523004433175,"rhp","mutual","clumped"
1,0.5,0.924611973392461,-0.884681773959849,0.0119507160148901,"rhp","mutual","clumped"
1,0.5,0.902222222222222,-0.849425349665257,0.0119432777789939,"rhp","mutual","clumped"
1,0.5,0.946666666666667,-0.863101795956074,0.0157223410451791,"rhp","self","clumped"
1,0.5,0.964444444444444,-0.868722722638628,0.0152431490813263,"rhp","self","clumped"
0.966666666666667,0.5,0.924444444444444,-0.858763378005996,0.0106708973004374,"rhp","self","clumped"
1,0.5,0.942222222222222,-0.879020168736514,0.0185250749128623,"rhp","self","clumped"
0.966666666666667,0.5,0.822222222222222,-0.819176190739658,0.00810075641820305,"rhp","self","clumped"
1,0.499445061043285,0.853333333333333,-0.861258690309493,0.0143662020087496,"rhp","self","clumped"
1,0.5,0.951111111111111,-0.86604005847068,0.0157194373788514,"rhp","self","clumped"
0.966666666666667,0.5,0.911111111111111,-0.858324376507235,0.0117899223485818,"rhp","self","clumped"
1,0.5,0.902222222222222,-0.862170447008103,0.0191958386557403,"rhp","self","clumped"
1,0.5,0.888888888888889,-0.85905935422021,0.0181882778534762,"rhp","self","clumped"
1,0.5,0.875831485587583,-0.85311911020045,0.0145931258677334,"rhp","opponent","clumped"
1,0.5,0.955555555555556,-0.891276233070492,0.0115055475256817,"rhp","opponent","clumped"
1,0.5,0.893333333333333,-0.854222150398621,0.0109027335798666,"rhp","opponent","clumped"
1,0.501108647450111,0.960176991150443,-0.895482791124502,0.0138983329998634,"rhp","opponent","clumped"
1,0.501108647450111,0.915929203539823,-0.875945257455952,0.00943316667126557,"rhp","opponent","clumped"
1,0.5,0.893333333333333,-0.863949964177237,0.01402614626143,"rhp","opponent","clumped"
0.928571428571428,0.5,0.884444444444444,-0.842750042589615,0.0112437537372891,"rhp","opponent","clumped"
1,0.5,0.88,-0.8630798944569,0.0123636792868512,"rhp","opponent","clumped"
1,0.5,0.951111111111111,-0.890783775543134,0.0118302694186786,"rhp","opponent","clumped"
1,0.5,0.928888888888889,-0.884741825811344,0.0133014069853171,"rhp","opponent","clumped"
1,0.5,0.897777777777778,-0.876237268870959,0.0153201761238954,"history","mutual","clumped"
1,0.5,0.871111111111111,-0.873284130407125,0.0139363790983423,"history","mutual","clumped"
0.928571428571428,0.5,0.888888888888889,-0.857325163349227,0.0141760077285803,"history","mutual","clumped"
1,0.498891352549889,0.933333333333333,-0.878916146984329,0.0143626737859728,"history","mutual","clumped"
1,0.5,0.92,-0.8614486731592,0.0141041883754702,"history","mutual","clumped"
1,0.5,0.915555555555556,-0.867455600346115,0.0154722687035725,"history","mutual","clumped"
1,0.5,0.964444444444444,-0.890616261790958,0.0139677505771713,"history","mutual","clumped"
1,0.5,0.906666666666667,-0.848649602196839,0.01420652800316,"history","mutual","clumped"
1,0.500554938956715,0.973392461197339,-0.885673127182415,0.0146896255281354,"history","mutual","clumped"
0.961538461538462,0.498891352549889,0.88,-0.856928388505929,0.0144362550387605,"history","mutual","clumped"
1,0.5,0.893569844789357,-0.861655266337189,0.0162287847742339,"history","self","clumped"
1,0.5,0.822222222222222,-0.84492565886905,0.0178026991958366,"history","self","clumped"
1,0.499446290143965,0.933481152993348,-0.839628003339837,0.017089051056877,"history","self","clumped"
1,0.5,0.897777777777778,-0.864441986597489,0.0158173115964558,"history","self","clumped"
0.966666666666667,0.499445061043285,0.92,-0.856661189986761,0.0163747321242158,"history","self","clumped"
1,0.499445061043285,0.96,-0.821659876402906,0.0173992846602866,"history","self","clumped"
1,0.5,0.8980044345898,-0.825581924810625,0.0163725714404975,"history","self","clumped"
1,0.5,0.933333333333333,-0.863097554458447,0.0158808794427626,"history","self","clumped"
0.961538461538462,0.5,0.871111111111111,-0.808976367067276,0.0181610528176861,"history","self","clumped"
0.958762886597938,0.5,0.911111111111111,-0.795172913133088,0.0171369926117213,"history","self","clumped"
0.964285714285714,0.5,0.897777777777778,-0.865013723650088,0.0124833920848503,"history","opponent","clumped"
0.966666666666667,0.499445061043285,0.902222222222222,-0.860019408201226,0.0139344725456611,"history","opponent","clumped"
1,0.5,0.893333333333333,-0.866201382297639,0.0139641973015442,"history","opponent","clumped"
1,0.5,0.911111111111111,-0.885425333128683,0.0129046854827167,"history","opponent","clumped"
1,0.5,0.924444444444444,-0.87963426403266,0.0118558404117938,"history","opponent","clumped"
1,0.5,0.951111111111111,-0.883644701505664,0.0123257073893392,"history","opponent","clumped"
1,0.5,0.928888888888889,-0.875819116826716,0.0117121993226804,"history","opponent","clumped"
1,0.5,0.906666666666667,-0.868715738009997,0.0135781840626628,"history","opponent","clumped"
1,0.5,0.933333333333333,-0.874626308920567,0.013062059957948,"history","opponent","clumped"
1,0.500554938956715,0.960088691796009,-0.891555708601163,0.0122467010453015,"history","opponent","clumped"
1,0.5,0.888888888888889,-0.865646802978635,9.44387700337067e-05,"rhp","mutual","Uniform"
1,0.5,0.88,-0.866304937309722,-4.04074483458657e-05,"rhp","mutual","Uniform"
0.966666666666667,0.5,0.92,-0.875834395379146,2.27059215731998e-05,"rhp","mutual","Uniform"
1,0.5,0.951111111111111,-0.886010720862255,7.14005683889873e-05,"rhp","mutual","Uniform"
1,0.5,0.902222222222222,-0.876146412510049,0.000141696105535719,"rhp","mutual","Uniform"
1,0.5,0.902222222222222,-0.880622362881721,3.35345633398087e-05,"rhp","mutual","Uniform"
1,0.5,0.955555555555556,-0.888430777675139,0.000244047764382373,"rhp","mutual","Uniform"
1,0.5,0.928888888888889,-0.886641517029217,7.51146295154935e-05,"rhp","mutual","Uniform"
0.964285714285714,0.5,0.88,-0.847435544253726,3.57345093410674e-05,"rhp","mutual","Uniform"
0.964285714285714,0.5,0.906666666666667,-0.868782172472013,5.64328098280182e-05,"rhp","mutual","Uniform"
1,0.5,0.928888888888889,-0.86944771756269,-0.000102999717426323,"rhp","self","Uniform"
1,0.5,0.96,-0.874056599760812,0.000453878914012927,"rhp","self","Uniform"
1,0.499445061043285,0.888888888888889,-0.8751527230939,0.000101385115771489,"rhp","self","Uniform"
1,0.5,0.933333333333333,-0.855867308897612,0.000319025430208772,"rhp","self","Uniform"
1,0.5,0.946666666666667,-0.860381703613596,0.000421341906521532,"rhp","self","Uniform"
1,0.5,0.888888888888889,-0.795876625355235,0.000246212378802562,"rhp","self","Uniform"
1,0.5,0.844444444444444,-0.853701946623477,0.000531771382751299,"rhp","self","Uniform"
1,0.5,0.937777777777778,-0.878889556465426,0.000249449280900043,"rhp","self","Uniform"
1,0.5,0.964444444444444,-0.88197181324764,0.000251131244658068,"rhp","self","Uniform"
1,0.5,0.786666666666667,-0.78615297759542,0.000432453170601,"rhp","self","Uniform"
1,0.5,0.946666666666667,-0.880937525171975,6.93331863620157e-05,"rhp","opponent","Uniform"
1,0.5,0.893333333333333,-0.840684755035022,0.000194749170217529,"rhp","opponent","Uniform"
1,0.5,0.808888888888889,-0.8466502599099,-9.92999412758975e-05,"rhp","opponent","Uniform"
1,0.5,0.928888888888889,-0.865918774234282,-6.68283146534561e-05,"rhp","opponent","Uniform"
1,0.5,0.955555555555556,-0.884757207173475,-0.000176644299951922,"rhp","opponent","Uniform"
1,0.5,0.942222222222222,-0.861978353020571,-7.34589626965255e-05,"rhp","opponent","Uniform"
0.966666666666667,0.5,0.911111111111111,-0.87214761933122,0.000194087646566265,"rhp","opponent","Uniform"
1,0.5,0.888888888888889,-0.854701944649846,0.000141679033889163,"rhp","opponent","Uniform"
0.933333333333333,0.5,0.857777777777778,-0.839742476774562,-0.00010193859898363,"rhp","opponent","Uniform"
0.964285714285714,0.5,0.964444444444444,-0.862766705364157,9.01550626625595e-05,"rhp","opponent","Uniform"
0.966666666666667,0.5,0.955555555555556,-0.890627095226026,0.000195920688535827,"history","mutual","Uniform"
1,0.5,0.915555555555556,-0.833952449110344,7.76713576996859e-05,"history","mutual","Uniform"
1,0.5,0.937777777777778,-0.88280395736067,0.000110841650106211,"history","mutual","Uniform"
1,0.5,0.946666666666667,-0.883719345123088,8.67062195125936e-05,"history","mutual","Uniform"
1,0.5,0.933333333333333,-0.887988158603132,0.000270077560335241,"history","mutual","Uniform"
1,0.5,0.942222222222222,-0.889640272581449,0.000219949894569734,"history","mutual","Uniform"
1,0.5,0.92,-0.868893551513169,0.000103873261759103,"history","mutual","Uniform"
0.961538461538462,0.5,0.791111111111111,-0.775553828644175,0.000305533259539224,"history","mutual","Uniform"
1,0.5,0.937777777777778,-0.880221295055238,-2.91132168493088e-05,"history","mutual","Uniform"
1,0.5,0.911111111111111,-0.874312522650547,9.73771820551652e-05,"history","mutual","Uniform"
1,0.5,0.96,-0.87918790229795,0.000107513450629216,"history","self","Uniform"
1,0.5,0.973333333333333,-0.866278789476024,0.000433000483394879,"history","self","Uniform"
1,0.5,0.937777777777778,-0.825128154025241,0.000241466397342877,"history","self","Uniform"
0.966666666666667,0.499445061043285,0.933333333333333,-0.862846915445001,0.000133591893999153,"history","self","Uniform"
1,0.5,0.888888888888889,-0.810113959690619,0.000294148223941665,"history","self","Uniform"
1,0.5,0.937777777777778,-0.820029624296494,0.000496643685945913,"history","self","Uniform"
1,0.5,0.955555555555556,-0.867116585529388,0.000375753070123059,"history","self","Uniform"
1,0.5,0.951111111111111,-0.868469014150832,0.000381367785056752,"history","self","Uniform"
1,0.5,0.924444444444444,-0.866363764552157,0.000218980417515313,"history","self","Uniform"
1,0.5,0.933333333333333,-0.863726845102443,0.000312196511479225,"history","self","Uniform"
1,0.5,0.928888888888889,-0.867539888893252,5.98832721063792e-05,"history","opponent","Uniform"
1,0.5,0.871111111111111,-0.809632774340284,-9.43855100161739e-05,"history","opponent","Uniform"
1,0.5,0.951111111111111,-0.853474240158732,-0.000104189327879652,"history","opponent","Uniform"
1,0.5,0.933333333333333,-0.848900520809196,-6.4571231929233e-05,"history","opponent","Uniform"
