"BehaviorSpace results (NetLogo 6.2.2)"
"dominance_despotism_energy.nlogo"
"new results dec 22"
"12/23/2022 11:31:44:792 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","winning","resource-dist","assessment-info","assessment-who","[step]","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time"
"14","deterministic","uniform","history","self","45548","45548","450","866","0.7209844559585491"
"13","deterministic","uniform","history","self","43611","43611","450","877","0.7207585242255394"
"7","deterministic","uniform","history","mutual","48393","48393","450","1120","0.7205814890583349"
"15","deterministic","uniform","history","self","45450","45450","450","886","0.7208250825082507"
"8","deterministic","uniform","history","mutual","47610","47610","450","1073","0.7204683889939087"
"10","deterministic","uniform","history","mutual","49077","49077","450","1113","0.7203455793956437"
"9","deterministic","uniform","history","mutual","47583","47583","450","1186","0.7206460290439863"
"16","deterministic","uniform","history","self","47532","47532","450","1061","0.7203252545653455"
"12","deterministic","uniform","history","self","48275","48275","450","1137","0.7203894355256345"
"2","deterministic","uniform","history","mutual","49190","49190","450","1009","0.7208172392762757"
"4","deterministic","uniform","history","mutual","49711","49711","450","1115","0.7208122950654785"
"3","deterministic","uniform","history","mutual","49393","49393","450","1055","0.720537323102464"
"5","deterministic","uniform","history","mutual","52056","52056","450","1256","0.7205855232826186"
"11","deterministic","uniform","history","self","49345","49345","450","1067","0.7208653359002938"
"6","deterministic","uniform","history","mutual","52264","52264","450","1238","0.7203658349915812"
"1","deterministic","uniform","history","mutual","49856","49856","450","1203","0.7202723844672658"
"17","deterministic","uniform","history","self","44863","44863","450","1030","0.7195684639903707"
"18","deterministic","uniform","history","self","42478","42478","450","840","0.7210508969348839"
"19","deterministic","uniform","history","self","48292","48292","450","1048","0.7208191833015819"
"22","deterministic","uniform","history","opponent","44924","44924","450","908","0.720541358739204"
"20","deterministic","uniform","history","self","46572","46572","450","970","0.7203491368204071"
"25","deterministic","uniform","history","opponent","44559","44559","450","885","0.7208240759442537"
"27","deterministic","uniform","history","opponent","45173","45173","450","1005","0.7199942443495008"
"21","deterministic","uniform","history","opponent","47714","47714","450","1081","0.7204677872322589"
"29","deterministic","uniform","history","opponent","45835","45835","450","965","0.7204232573360969"
"30","deterministic","uniform","history","opponent","43992","43992","450","888","0.7203036915802874"
"23","deterministic","uniform","history","opponent","48816","48816","450","1044","0.7203642248443133"
"26","deterministic","uniform","history","opponent","48583","48583","450","1065","0.7203054566412119"
"24","deterministic","uniform","history","opponent","49464","49464","450","1055","0.7208252466440239"
"28","deterministic","uniform","history","opponent","48999","48999","450","1059","0.7205126635237453"
"31","deterministic","uniform","knowledge","mutual","53135","53135","450","1344","0.7204610896772372"
"33","deterministic","uniform","knowledge","mutual","55786","55786","450","1392","0.720449575162227"
"47","deterministic","uniform","knowledge","self","37272","37272","450","568","0.7205033268941833"
"34","deterministic","uniform","knowledge","mutual","52699","52699","450","1212","0.7205791381240629"
"46","deterministic","uniform","knowledge","self","38868","38868","450","636","0.7206313677060823"
"45","deterministic","uniform","knowledge","self","44133","44133","450","840","0.7208891305825573"
"35","deterministic","uniform","knowledge","mutual","55740","55740","450","1430","0.720480803731611"
"36","deterministic","uniform","knowledge","mutual","51907","51907","450","1196","0.7206658061533127"
"38","deterministic","uniform","knowledge","mutual","53067","53067","450","1326","0.720110426442045"
"41","deterministic","uniform","knowledge","self","54006","54006","450","1383","0.7203236677406214"
"43","deterministic","uniform","knowledge","self","51043","51043","450","1123","0.7203397135748292"
"42","deterministic","uniform","knowledge","self","49207","49207","450","1060","0.720289796167212"
"44","deterministic","uniform","knowledge","self","49777","49777","450","1143","0.7207846997609337"
"37","deterministic","uniform","knowledge","mutual","57473","57473","450","1468","0.7204896212134393"
"39","deterministic","uniform","knowledge","mutual","59371","59371","450","1593","0.7202944198345994"
"40","deterministic","uniform","knowledge","mutual","60478","60478","450","1517","0.7210274810674955"
"61","deterministic","clumped","history","mutual","16162","16162","450","664","0.5283875757950749"
"62","deterministic","clumped","history","mutual","16175","16175","450","685","0.5302380216383308"
"50","deterministic","uniform","knowledge","self","35484","35484","450","523","0.7212039228948258"
"53","deterministic","uniform","knowledge","opponent","36239","36239","450","532","0.7212036755981125"
"48","deterministic","uniform","knowledge","self","43061","43061","450","904","0.7200599150042963"
"63","deterministic","clumped","history","mutual","16243","16243","450","759","0.5308317429046359"
"52","deterministic","uniform","knowledge","opponent","42060","42060","450","706","0.720789348549691"
"64","deterministic","clumped","history","mutual","16180","16180","450","691","0.5086526576019778"
"49","deterministic","uniform","knowledge","self","47949","47949","450","986","0.7206803061586269"
"57","deterministic","uniform","knowledge","opponent","38812","38812","450","570","0.720998660208183"
"66","deterministic","clumped","history","mutual","16253","16253","450","677","0.532178674706208"
"67","deterministic","clumped","history","mutual","16220","16220","450","710","0.5289457459926018"
"65","deterministic","clumped","history","mutual","16117","16117","450","668","0.517211639883353"
"68","deterministic","clumped","history","mutual","16242","16242","450","672","0.5468292082255879"
"60","deterministic","uniform","knowledge","opponent","47673","47673","450","1105","0.7202525538564806"
"56","deterministic","uniform","knowledge","opponent","53067","53067","450","1240","0.7203836659317466"
"69","deterministic","clumped","history","mutual","16127","16127","451","620","0.5415080300117814"
"70","deterministic","clumped","history","mutual","16231","16231","450","656","0.5270778140595158"
"71","deterministic","clumped","history","self","16140","16140","451","654","0.541728624535316"
"51","deterministic","uniform","knowledge","opponent","58507","58507","450","1630","0.719977096757653"
"72","deterministic","clumped","history","self","16213","16213","450","686","0.5282551039289458"
"59","deterministic","uniform","knowledge","opponent","52917","52917","450","1237","0.7211387644802238"
"73","deterministic","clumped","history","self","16187","16187","451","700","0.5186878359177117"
"74","deterministic","clumped","history","self","16170","16170","450","647","0.5205380333951763"
"75","deterministic","clumped","history","self","16234","16234","450","651","0.5346002217568065"
"54","deterministic","uniform","knowledge","opponent","60322","60322","450","1740","0.7203043665660954"
"58","deterministic","uniform","knowledge","opponent","55293","55293","450","1351","0.7204727542365218"
"55","deterministic","uniform","knowledge","opponent","59151","59151","450","1664","0.7200114960017582"
"76","deterministic","clumped","history","self","16143","16143","450","625","0.519630799727436"
"78","deterministic","clumped","history","self","16079","16079","450","551","0.5274892717208781"
"77","deterministic","clumped","history","self","16174","16174","451","710","0.5277791517249908"
"79","deterministic","clumped","history","self","16136","16136","450","608","0.5351512146752603"
"81","deterministic","clumped","history","opponent","16113","16113","450","560","0.5354744616148451"
"80","deterministic","clumped","history","self","16229","16229","450","725","0.5255899932220099"
"83","deterministic","clumped","history","opponent","16200","16200","450","627","0.5323950617283952"
