approaching, opponent, attackcount
2, 0, 4
3, 9, 7
0, 6, 7
6, 3, 6
5, 1, 3
7, 9, 3
7, 2, 2
0, 3, 9
7, 6, 5
5, 8, 3
3, 6, 9
0, 2, 6
0, 9, 2
4, 3, 9
4, 6, 4
9, 1, 3
0, 7, 7
4, 7, 12
9, 8, 2
0, 8, 8
7, 8, 3
4, 5, 4
9, 6, 2
1, 8, 1
7, 3, 1
8, 1, 0
4, 8, 5
5, 6, 4
4, 9, 7
8, 0, 5
9, 3, 7
4, 0, 6
6, 1, 4
2, 6, 4
3, 4, 8
6, 7, 6
8, 6, 2
8, 5, 7
1, 2, 3
4, 1, 8
4, 2, 7
8, 3, 5
9, 4, 12
1, 3, 5
8, 9, 5
1, 4, 7
6, 8, 6
2, 5, 1
3, 2, 3
7, 1, 1
5, 9, 10
9, 7, 1
1, 5, 2
6, 0, 8
3, 8, 6
9, 2, 6
1, 7, 2
7, 4, 3
7, 0, 7
2, 3, 6
5, 3, 3
5, 0, 4
6, 5, 9
0, 1, 5
8, 2, 4
6, 9, 8
2, 9, 6
2, 1, 1
1, 9, 3
3, 1, 7
2, 7, 4
6, 2, 3
3, 5, 9
1, 6, 5
0, 5, 8
9, 5, 8
8, 4, 4
3, 0, 8
9, 0, 3
1, 0, 1
8, 7, 2
5, 2, 4
2, 8, 5
6, 4, 9
0, 4, 5
7, 5, 1
5, 7, 3
3, 7, 7
5, 4, 7
2, 4, 3
