self, opp, fightsavoided
2, 9, 13
2, 3, 5
3, 4, 2
9, 2, 2
5, 1, 9
8, 6, 2
6, 1, 4
4, 5, 0
6, 5, 4
4, 2, 4
5, 4, 5
1, 6, 1
0, 9, 7
9, 4, 6
6, 7, 6
7, 8, 3
2, 8, 7
3, 5, 3
3, 2, 3
0, 8, 3
7, 4, 3
8, 1, 4
1, 4, 7
4, 1, 3
9, 6, 2
9, 3, 4
0, 7, 8
9, 1, 1
3, 0, 3
5, 2, 6
2, 7, 15
7, 6, 3
2, 6, 3
2, 4, 6
1, 3, 6
5, 6, 4
3, 7, 9
5, 9, 12
2, 0, 2
6, 4, 11
1, 7, 4
6, 9, 8
3, 6, 3
0, 6, 1
8, 9, 15
1, 5, 3
7, 3, 4
9, 0, 1
1, 8, 5
2, 1, 0
3, 9, 14
6, 3, 0
5, 7, 9
5, 8, 6
5, 0, 6
7, 0, 1
7, 1, 1
5, 3, 6
1, 9, 12
8, 4, 14
4, 0, 0
8, 3, 2
0, 4, 7
0, 1, 6
7, 5, 3
8, 0, 0
3, 8, 5
7, 2, 2
0, 2, 8
2, 5, 2
0, 5, 6
8, 5, 3
6, 8, 6
4, 3, 0
4, 7, 13
0, 3, 3
6, 0, 3
4, 6, 9
9, 5, 0
7, 9, 8
1, 0, 4
8, 2, 2
6, 2, 4
8, 7, 7
9, 8, 3
9, 7, 8
4, 8, 8
1, 2, 1
3, 1, 3
4, 9, 10
