winner, loser, victorycount
9, 1, 0
3, 7, 14
8, 0, 6
2, 8, 16
4, 6, 0
7, 2, 0
6, 9, 5
6, 4, 3
3, 9, 8
8, 9, 6
7, 4, 0
9, 4, 0
9, 0, 2
8, 7, 7
0, 3, 0
5, 0, 15
4, 5, 0
1, 4, 11
7, 9, 6
3, 6, 15
7, 3, 0
3, 0, 17
1, 5, 0
3, 1, 20
5, 4, 5
3, 4, 17
8, 6, 0
5, 9, 14
2, 3, 5
8, 1, 0
9, 5, 0
8, 3, 0
8, 4, 9
1, 3, 0
6, 2, 0
0, 1, 0
9, 6, 0
5, 6, 16
6, 7, 4
1, 2, 0
0, 5, 0
9, 8, 0
0, 8, 0
8, 2, 0
8, 5, 0
3, 2, 8
6, 8, 4
4, 2, 0
2, 6, 16
5, 2, 7
5, 3, 10
5, 8, 21
0, 6, 0
3, 8, 11
1, 6, 2
6, 1, 2
6, 5, 0
7, 6, 0
7, 1, 0
5, 1, 11
1, 7, 11
0, 2, 0
0, 9, 2
7, 0, 6
1, 8, 10
4, 3, 0
2, 7, 8
7, 8, 0
6, 3, 0
2, 0, 4
9, 3, 0
0, 4, 0
4, 9, 4
6, 0, 6
4, 7, 6
2, 4, 12
3, 5, 9
7, 5, 0
2, 5, 8
4, 1, 0
1, 9, 9
2, 9, 3
1, 0, 10
9, 7, 0
0, 7, 0
9, 2, 0
4, 0, 3
2, 1, 15
5, 7, 9
4, 8, 2
