approaching, opponent, attackcount
6, 3, 5
8, 1, 6
7, 6, 3
5, 2, 5
9, 7, 5
0, 2, 5
7, 4, 9
7, 9, 9
2, 9, 2
1, 2, 4
5, 4, 5
3, 6, 2
4, 3, 8
4, 2, 7
8, 7, 6
4, 7, 3
9, 6, 10
8, 5, 10
4, 1, 2
1, 6, 2
4, 6, 13
3, 9, 4
5, 0, 8
6, 7, 7
1, 4, 5
0, 3, 8
8, 4, 4
6, 9, 6
5, 3, 1
5, 1, 4
0, 9, 7
9, 1, 6
3, 7, 7
2, 0, 1
9, 5, 4
8, 0, 4
1, 3, 7
7, 2, 3
3, 8, 5
4, 8, 4
7, 8, 5
1, 9, 5
9, 3, 4
2, 7, 6
7, 3, 3
6, 0, 4
8, 2, 6
0, 5, 4
4, 0, 6
6, 5, 7
1, 0, 8
3, 4, 5
5, 6, 4
0, 8, 3
7, 0, 4
4, 9, 5
6, 2, 3
8, 6, 4
6, 8, 6
7, 1, 8
2, 1, 7
0, 4, 3
3, 2, 7
3, 1, 10
8, 9, 3
1, 7, 5
1, 8, 3
5, 8, 2
7, 5, 9
2, 3, 4
0, 1, 3
0, 7, 8
3, 0, 4
5, 7, 4
9, 0, 3
2, 6, 2
2, 5, 2
6, 1, 6
9, 2, 5
9, 4, 7
2, 8, 4
8, 3, 5
4, 5, 2
1, 5, 6
6, 4, 5
9, 8, 0
2, 4, 3
0, 6, 2
5, 9, 4
3, 5, 6
