self, opp, fightsavoided
2, 0, 2
9, 3, 7
8, 0, 6
5, 9, 4
8, 2, 3
5, 3, 14
4, 7, 7
3, 9, 7
0, 2, 4
0, 3, 7
1, 9, 4
2, 4, 16
5, 4, 2
1, 6, 0
2, 5, 4
8, 3, 3
3, 4, 1
5, 8, 3
4, 5, 1
0, 5, 2
6, 2, 2
0, 1, 6
7, 9, 0
3, 7, 5
4, 1, 3
3, 2, 2
4, 8, 7
7, 5, 4
7, 1, 11
0, 4, 7
4, 6, 3
6, 1, 2
8, 6, 5
1, 0, 4
1, 8, 12
5, 1, 7
7, 3, 2
8, 4, 6
4, 9, 0
2, 3, 3
2, 7, 6
4, 3, 4
9, 1, 3
3, 5, 3
1, 4, 3
6, 4, 6
5, 0, 6
2, 9, 7
1, 2, 9
0, 6, 9
3, 0, 10
5, 2, 5
4, 2, 3
9, 8, 9
0, 7, 3
6, 0, 10
2, 6, 5
5, 6, 6
2, 1, 6
9, 5, 10
7, 2, 3
1, 7, 8
1, 5, 0
6, 9, 8
7, 6, 8
8, 7, 0
4, 0, 4
6, 3, 0
3, 1, 6
7, 0, 8
5, 7, 3
6, 5, 4
3, 8, 5
9, 0, 1
2, 8, 10
9, 2, 2
7, 8, 8
8, 9, 8
6, 8, 6
9, 6, 3
9, 4, 5
8, 1, 1
7, 4, 7
3, 6, 3
6, 7, 4
0, 8, 5
9, 7, 4
8, 5, 3
0, 9, 5
1, 3, 7
