winner, loser, victorycount
1, 0, 10
4, 2, 11
6, 8, 0
8, 9, 8
3, 8, 4
5, 9, 5
0, 1, 12
7, 9, 0
3, 5, 3
9, 8, 5
9, 0, 3
8, 0, 4
8, 6, 13
4, 3, 4
0, 8, 0
7, 1, 5
3, 6, 8
3, 1, 4
4, 5, 5
8, 2, 10
5, 6, 7
8, 7, 5
8, 3, 3
2, 0, 3
9, 5, 4
3, 9, 2
0, 6, 5
7, 2, 4
4, 8, 5
0, 2, 4
3, 0, 5
8, 5, 4
6, 0, 3
5, 4, 5
1, 7, 3
6, 2, 6
9, 1, 7
7, 0, 1
5, 0, 7
2, 1, 6
7, 6, 5
1, 9, 3
4, 1, 3
3, 4, 9
5, 1, 4
4, 9, 5
5, 8, 8
2, 8, 3
1, 4, 3
1, 2, 3
2, 4, 2
6, 4, 8
2, 5, 9
9, 2, 4
6, 7, 2
0, 3, 4
0, 5, 3
2, 9, 4
1, 3, 2
2, 7, 9
6, 3, 7
6, 5, 5
2, 6, 6
9, 7, 5
7, 4, 1
0, 9, 10
7, 5, 5
3, 7, 2
1, 6, 1
9, 6, 6
3, 2, 4
5, 2, 6
0, 7, 7
6, 9, 2
7, 8, 3
8, 1, 4
5, 3, 12
1, 8, 5
4, 6, 4
4, 0, 4
6, 1, 5
5, 7, 4
1, 5, 7
8, 4, 5
2, 3, 4
9, 3, 4
7, 3, 5
9, 4, 7
4, 7, 5
0, 4, 10
