approaching, opponent, attackcount
0, 7, 3
7, 0, 6
3, 4, 5
8, 0, 4
1, 9, 6
2, 3, 2
5, 6, 9
7, 5, 4
7, 9, 1
5, 4, 6
8, 9, 6
8, 4, 7
6, 3, 3
3, 5, 10
0, 8, 5
3, 7, 3
9, 5, 5
1, 0, 3
5, 3, 4
9, 6, 3
8, 6, 6
6, 9, 4
8, 5, 10
2, 9, 2
4, 8, 2
6, 8, 9
3, 2, 4
4, 0, 3
4, 6, 5
3, 0, 3
3, 9, 3
3, 1, 5
4, 5, 6
1, 7, 8
8, 7, 5
1, 2, 3
5, 9, 6
7, 3, 5
0, 2, 6
7, 6, 6
4, 2, 2
4, 9, 3
2, 6, 2
6, 4, 8
7, 8, 5
5, 7, 6
2, 7, 1
9, 7, 5
0, 9, 10
3, 6, 3
9, 0, 2
1, 6, 5
5, 0, 7
0, 3, 7
6, 5, 2
7, 1, 3
0, 1, 6
2, 8, 3
9, 2, 4
9, 4, 4
2, 0, 5
2, 4, 6
1, 5, 6
6, 2, 7
3, 8, 5
1, 4, 3
0, 4, 8
0, 6, 4
0, 5, 6
9, 3, 7
6, 0, 7
2, 1, 4
4, 3, 5
5, 1, 4
7, 4, 5
7, 2, 7
9, 1, 5
8, 3, 3
1, 8, 4
8, 1, 6
2, 5, 6
4, 1, 5
5, 8, 6
9, 8, 2
1, 3, 12
6, 7, 5
6, 1, 8
8, 2, 3
5, 2, 9
4, 7, 3
