self, opp, fightsavoided
0, 6, 3
1, 2, 4
5, 2, 8
7, 3, 4
6, 2, 3
7, 4, 1
8, 3, 9
3, 0, 5
3, 1, 6
7, 5, 4
7, 6, 5
3, 8, 5
5, 0, 4
4, 8, 3
1, 4, 4
0, 2, 6
7, 1, 6
6, 5, 11
6, 4, 2
0, 1, 3
7, 9, 4
7, 2, 8
9, 8, 6
8, 4, 5
1, 9, 6
9, 3, 5
1, 3, 2
1, 7, 4
0, 4, 10
3, 6, 5
0, 7, 10
5, 1, 10
6, 8, 4
4, 1, 2
4, 5, 7
9, 1, 4
5, 4, 3
6, 3, 8
0, 3, 8
9, 6, 6
5, 6, 7
6, 0, 3
4, 2, 7
5, 7, 3
2, 0, 0
2, 7, 11
6, 7, 5
8, 1, 6
8, 6, 7
8, 5, 1
2, 9, 4
2, 6, 2
0, 9, 1
4, 9, 11
9, 5, 4
6, 9, 4
7, 8, 3
8, 2, 11
6, 1, 3
8, 0, 5
4, 3, 3
4, 7, 5
8, 9, 7
2, 4, 4
1, 0, 1
5, 3, 4
9, 4, 2
5, 9, 6
3, 5, 7
1, 5, 5
9, 7, 3
3, 7, 9
8, 7, 7
2, 1, 9
1, 8, 7
5, 8, 3
3, 9, 5
7, 0, 1
3, 4, 0
3, 2, 7
1, 6, 3
2, 8, 5
2, 5, 5
9, 2, 6
0, 8, 3
4, 0, 3
2, 3, 3
0, 5, 11
9, 0, 2
4, 6, 3
