winner, loser, victorycount
7, 9, 7
0, 5, 5
7, 4, 5
1, 4, 3
6, 7, 5
8, 6, 7
3, 8, 5
5, 0, 5
9, 3, 6
1, 3, 3
6, 0, 4
8, 4, 3
7, 2, 2
2, 7, 9
0, 9, 5
3, 6, 4
8, 2, 1
3, 7, 4
7, 8, 2
2, 0, 6
2, 8, 6
0, 3, 2
6, 5, 6
2, 9, 11
9, 6, 4
4, 9, 8
9, 1, 2
6, 3, 8
9, 8, 3
5, 4, 4
4, 5, 5
4, 6, 11
3, 5, 6
7, 1, 6
8, 7, 5
7, 6, 1
2, 6, 6
1, 8, 4
1, 2, 1
8, 3, 10
3, 9, 5
7, 0, 7
1, 5, 4
5, 2, 3
6, 8, 4
0, 2, 3
0, 4, 3
2, 1, 3
1, 0, 3
4, 2, 4
5, 8, 5
3, 1, 4
8, 1, 15
1, 9, 7
5, 7, 7
9, 4, 0
6, 4, 11
4, 3, 3
8, 5, 2
5, 6, 4
4, 1, 7
7, 3, 6
5, 9, 7
4, 0, 8
4, 8, 4
9, 5, 1
7, 5, 2
0, 8, 2
6, 2, 1
6, 9, 6
9, 0, 6
0, 7, 4
0, 1, 6
2, 4, 8
3, 2, 3
8, 9, 8
8, 0, 13
2, 3, 7
9, 2, 2
9, 7, 2
1, 6, 3
2, 5, 7
3, 4, 3
6, 1, 12
3, 0, 7
1, 7, 4
5, 1, 4
0, 6, 5
4, 7, 5
5, 3, 0
