approaching, opponent, attackcount
6, 4, 5
7, 0, 7
7, 8, 12
6, 5, 5
4, 5, 5
8, 6, 2
4, 0, 1
4, 8, 2
6, 9, 5
7, 1, 4
8, 9, 4
5, 4, 7
2, 4, 7
5, 8, 2
1, 9, 7
9, 8, 5
0, 7, 3
0, 5, 12
0, 6, 2
5, 3, 2
6, 0, 8
7, 3, 3
3, 0, 0
9, 5, 1
6, 3, 2
0, 2, 11
4, 6, 2
9, 6, 1
2, 9, 1
3, 5, 6
8, 5, 7
5, 2, 6
3, 1, 2
4, 2, 7
1, 5, 15
2, 6, 7
5, 9, 5
9, 4, 6
2, 3, 5
0, 4, 15
8, 1, 3
6, 8, 6
8, 7, 0
3, 6, 6
0, 9, 6
1, 7, 4
3, 8, 9
2, 0, 1
3, 7, 4
5, 0, 3
9, 1, 4
9, 2, 4
4, 1, 3
6, 2, 6
2, 7, 1
1, 3, 7
7, 4, 13
1, 4, 10
5, 6, 3
0, 8, 5
4, 7, 1
1, 0, 6
5, 1, 2
1, 6, 7
8, 0, 4
1, 8, 20
9, 7, 2
7, 6, 9
1, 2, 10
4, 9, 2
7, 5, 7
3, 9, 3
6, 7, 1
8, 4, 4
2, 1, 1
0, 1, 1
8, 2, 6
7, 2, 6
3, 4, 3
2, 8, 5
6, 1, 2
8, 3, 3
0, 3, 5
5, 7, 0
9, 3, 4
2, 5, 9
7, 9, 7
4, 3, 4
3, 2, 6
9, 0, 3
