self, opp, fightsavoided
0, 2, 4
0, 8, 10
0, 9, 2
6, 2, 3
5, 1, 6
8, 6, 2
1, 6, 2
2, 3, 0
4, 8, 1
2, 7, 3
6, 3, 5
5, 4, 5
1, 2, 2
8, 7, 8
4, 0, 10
8, 9, 4
4, 2, 8
5, 9, 4
9, 1, 2
9, 4, 6
0, 3, 3
8, 1, 6
2, 1, 4
1, 5, 6
2, 4, 10
1, 7, 4
6, 1, 3
1, 8, 1
4, 3, 1
7, 3, 11
7, 1, 3
9, 0, 10
7, 8, 9
9, 3, 5
7, 6, 5
7, 5, 7
9, 6, 6
7, 0, 4
7, 4, 5
8, 5, 4
0, 7, 4
9, 8, 9
7, 9, 9
2, 5, 3
4, 1, 8
5, 2, 4
9, 2, 6
6, 5, 14
3, 2, 0
4, 6, 1
5, 3, 3
3, 0, 7
1, 4, 6
9, 5, 3
3, 5, 1
4, 7, 1
5, 8, 1
3, 9, 7
9, 7, 14
5, 0, 5
1, 3, 2
1, 0, 5
0, 5, 3
6, 7, 5
3, 8, 5
2, 9, 8
8, 0, 6
3, 4, 5
0, 1, 6
2, 0, 9
6, 8, 5
7, 2, 11
6, 9, 9
1, 9, 4
5, 6, 4
8, 3, 7
5, 7, 3
3, 7, 9
6, 4, 5
3, 6, 2
0, 4, 2
3, 1, 10
8, 4, 6
2, 6, 2
4, 9, 0
0, 6, 0
4, 5, 4
6, 0, 6
8, 2, 4
2, 8, 3
