winner, loser, victorycount
6, 8, 15
6, 2, 6
2, 8, 15
9, 7, 0
1, 2, 0
6, 3, 4
7, 9, 5
0, 3, 0
4, 3, 0
3, 9, 10
2, 4, 14
1, 6, 0
8, 4, 0
0, 9, 10
3, 8, 13
8, 7, 0
0, 5, 13
0, 7, 0
2, 5, 14
8, 1, 2
5, 6, 0
6, 7, 4
5, 9, 0
5, 8, 6
8, 5, 0
5, 4, 3
1, 5, 0
3, 5, 8
6, 1, 17
9, 5, 0
3, 1, 14
2, 0, 8
4, 2, 0
9, 6, 0
8, 0, 0
1, 9, 0
5, 0, 0
0, 4, 11
9, 0, 0
0, 1, 9
4, 5, 4
6, 5, 12
8, 3, 0
9, 4, 2
9, 8, 2
6, 9, 2
7, 0, 9
7, 6, 4
5, 2, 0
5, 3, 0
3, 2, 9
0, 2, 0
8, 6, 0
7, 1, 7
7, 3, 4
9, 3, 0
3, 7, 4
8, 9, 0
4, 1, 5
4, 6, 0
6, 0, 5
9, 1, 8
3, 0, 10
2, 3, 0
4, 9, 8
2, 7, 0
4, 0, 0
7, 8, 20
3, 6, 6
6, 4, 18
2, 1, 15
7, 4, 5
7, 5, 21
1, 4, 0
1, 0, 0
1, 8, 4
1, 7, 0
4, 7, 0
4, 8, 12
0, 8, 14
3, 4, 13
1, 3, 0
2, 6, 0
2, 9, 12
5, 7, 0
9, 2, 0
5, 1, 9
8, 2, 0
7, 2, 5
0, 6, 0
