approaching, opponent, attackcount
1, 3, 3
3, 9, 3
0, 1, 8
6, 5, 7
6, 1, 10
8, 7, 8
1, 5, 2
5, 4, 3
9, 7, 7
5, 2, 5
1, 0, 4
4, 5, 17
7, 8, 1
2, 8, 6
7, 4, 7
5, 3, 2
9, 1, 6
1, 2, 1
9, 6, 2
2, 1, 9
1, 7, 4
6, 7, 6
4, 0, 5
7, 6, 7
3, 8, 3
6, 3, 5
9, 4, 4
7, 1, 2
5, 7, 5
9, 8, 1
0, 4, 1
0, 3, 3
8, 6, 5
5, 1, 7
2, 0, 6
4, 1, 9
5, 6, 2
6, 8, 4
3, 4, 4
4, 3, 7
0, 9, 3
9, 0, 6
8, 0, 3
8, 4, 7
8, 3, 5
4, 2, 5
0, 5, 6
3, 7, 11
6, 0, 6
0, 8, 2
4, 7, 7
3, 2, 2
7, 2, 3
1, 9, 5
0, 7, 6
0, 6, 5
7, 9, 4
6, 9, 5
3, 6, 3
6, 2, 3
9, 3, 2
5, 8, 5
3, 1, 7
8, 9, 4
4, 8, 6
7, 5, 4
4, 9, 7
1, 8, 1
2, 5, 13
9, 5, 5
6, 4, 0
2, 3, 10
7, 0, 5
4, 6, 4
2, 9, 10
1, 4, 2
2, 7, 7
5, 9, 1
2, 4, 1
0, 2, 2
3, 0, 6
9, 2, 3
3, 5, 18
7, 3, 2
1, 6, 2
8, 5, 7
5, 0, 1
2, 6, 2
8, 1, 10
8, 2, 5
