winner, loser, victorycount
5, 0, 10
0, 7, 2
2, 3, 5
3, 4, 11
9, 2, 4
4, 0, 9
2, 5, 2
9, 4, 4
2, 0, 2
3, 5, 6
6, 2, 3
0, 3, 2
4, 6, 6
1, 5, 1
5, 8, 8
1, 4, 2
6, 4, 7
7, 2, 8
4, 5, 1
6, 3, 2
2, 1, 7
3, 2, 6
5, 2, 8
3, 7, 4
0, 8, 3
9, 6, 6
4, 1, 4
7, 1, 4
8, 9, 7
5, 7, 5
7, 6, 12
9, 8, 1
8, 7, 5
5, 4, 7
9, 7, 4
8, 2, 3
6, 8, 3
3, 1, 7
9, 1, 5
2, 8, 3
6, 5, 6
8, 4, 7
2, 6, 3
9, 0, 13
6, 7, 6
8, 6, 10
1, 0, 2
6, 9, 4
7, 9, 6
1, 8, 6
8, 0, 11
8, 3, 2
5, 3, 3
0, 6, 6
7, 8, 1
0, 5, 3
7, 5, 6
7, 0, 12
1, 2, 4
4, 7, 6
4, 8, 2
0, 4, 2
7, 3, 3
5, 6, 3
3, 6, 4
9, 5, 7
1, 9, 3
0, 1, 7
8, 1, 9
3, 0, 8
3, 9, 7
4, 3, 7
7, 4, 2
1, 7, 3
8, 5, 3
4, 9, 2
6, 0, 4
6, 1, 8
2, 7, 4
9, 3, 2
5, 9, 6
0, 2, 3
1, 3, 4
2, 4, 6
1, 6, 4
2, 9, 2
3, 8, 4
0, 9, 4
5, 1, 6
4, 2, 5
