approaching, opponent, attackcount
8, 2, 9
9, 7, 4
7, 4, 4
3, 2, 3
2, 6, 4
4, 0, 11
2, 0, 5
9, 3, 3
9, 6, 5
7, 1, 4
4, 1, 5
2, 7, 5
5, 1, 5
7, 6, 4
6, 2, 5
9, 4, 6
7, 3, 3
1, 6, 3
5, 9, 8
6, 0, 11
6, 3, 7
2, 4, 3
6, 8, 4
6, 7, 9
8, 3, 6
7, 5, 2
4, 6, 5
2, 3, 5
2, 9, 9
3, 4, 2
1, 2, 7
1, 5, 7
7, 9, 6
5, 4, 7
4, 9, 15
3, 7, 9
0, 6, 1
4, 2, 7
8, 6, 4
1, 0, 7
6, 4, 4
7, 8, 1
1, 4, 5
7, 2, 2
8, 1, 7
3, 0, 5
0, 1, 5
9, 1, 4
6, 1, 8
0, 5, 4
1, 9, 7
0, 8, 4
8, 7, 5
3, 6, 6
6, 9, 10
5, 6, 3
0, 4, 0
1, 7, 8
2, 8, 3
9, 2, 3
8, 9, 5
4, 7, 2
9, 0, 3
0, 9, 3
0, 3, 6
0, 2, 2
8, 4, 4
9, 5, 2
8, 0, 5
5, 0, 13
3, 1, 2
4, 8, 3
4, 5, 4
1, 8, 4
9, 8, 1
0, 7, 0
1, 3, 3
5, 7, 2
8, 5, 4
5, 8, 3
2, 1, 6
4, 3, 8
5, 2, 6
3, 9, 4
7, 0, 5
3, 5, 3
3, 8, 4
2, 5, 8
5, 3, 8
6, 5, 4
