self, opp, fightsavoided
6, 5, 12
4, 6, 0
3, 2, 5
3, 7, 8
2, 4, 4
0, 6, 1
6, 0, 4
8, 1, 4
0, 9, 6
5, 4, 9
3, 5, 4
8, 3, 2
1, 7, 4
9, 3, 5
9, 0, 11
5, 0, 7
6, 1, 4
2, 3, 3
8, 4, 6
8, 6, 3
1, 4, 4
8, 5, 4
5, 6, 4
2, 5, 8
2, 0, 2
9, 4, 5
8, 7, 3
5, 9, 5
6, 8, 5
0, 3, 1
9, 6, 5
9, 1, 4
5, 7, 5
7, 5, 9
5, 2, 4
7, 9, 6
7, 0, 7
4, 5, 7
5, 1, 3
8, 0, 7
1, 0, 10
4, 3, 2
7, 4, 9
1, 8, 5
6, 4, 5
3, 1, 2
4, 9, 2
6, 7, 8
6, 2, 11
9, 8, 6
2, 7, 7
0, 7, 9
3, 0, 3
0, 5, 4
2, 9, 6
4, 2, 4
1, 9, 4
1, 5, 4
1, 6, 7
4, 1, 2
7, 8, 5
1, 3, 7
3, 9, 2
3, 6, 4
6, 3, 5
4, 8, 3
6, 9, 9
5, 3, 0
7, 1, 2
2, 1, 4
1, 2, 4
0, 1, 2
0, 8, 6
8, 2, 7
3, 4, 8
7, 3, 1
2, 8, 0
9, 2, 4
0, 4, 9
2, 6, 2
9, 7, 11
4, 7, 5
0, 2, 3
3, 8, 3
4, 0, 5
8, 9, 7
9, 5, 6
5, 8, 2
7, 2, 9
7, 6, 5
