winner, loser, victorycount
9, 8, 2
1, 7, 5
8, 7, 2
6, 8, 5
4, 0, 17
3, 4, 1
0, 8, 1
6, 2, 4
9, 2, 4
3, 1, 8
3, 6, 10
5, 0, 8
9, 5, 1
2, 8, 6
0, 7, 3
3, 7, 7
7, 4, 5
7, 9, 6
6, 0, 6
3, 9, 10
6, 1, 12
1, 9, 5
3, 0, 10
5, 8, 6
8, 0, 10
0, 9, 2
2, 4, 4
5, 2, 4
6, 9, 6
7, 1, 5
7, 3, 4
7, 2, 6
2, 3, 3
6, 4, 7
7, 8, 2
0, 2, 2
5, 4, 3
0, 5, 1
9, 1, 3
9, 6, 0
2, 0, 3
5, 3, 4
8, 9, 4
3, 8, 5
4, 7, 8
8, 3, 5
8, 2, 8
9, 3, 1
4, 2, 9
4, 6, 8
1, 2, 1
4, 8, 8
4, 3, 11
8, 5, 2
5, 9, 8
8, 1, 2
0, 6, 1
9, 0, 4
3, 2, 6
9, 7, 3
0, 1, 2
1, 6, 4
1, 3, 4
2, 6, 6
0, 3, 1
2, 1, 4
0, 4, 1
9, 4, 2
6, 7, 7
1, 5, 3
2, 5, 7
1, 8, 3
6, 3, 4
5, 7, 5
5, 1, 10
7, 5, 8
8, 4, 5
2, 7, 3
7, 0, 9
3, 5, 2
8, 6, 2
2, 9, 8
4, 1, 8
7, 6, 3
4, 5, 5
6, 5, 8
1, 0, 5
1, 4, 2
4, 9, 9
5, 6, 3
