self, opp, fightsavoided
6, 0, 5
5, 1, 18
8, 0, 15
3, 4, 8
7, 3, 8
6, 4, 8
7, 6, 2
8, 4, 12
1, 2, 2
8, 2, 1
4, 1, 11
1, 6, 5
9, 0, 6
3, 2, 2
5, 6, 0
2, 4, 4
2, 9, 1
2, 0, 4
6, 3, 6
9, 4, 5
0, 3, 12
7, 2, 4
4, 3, 11
8, 1, 6
3, 1, 9
6, 7, 0
9, 3, 6
4, 0, 8
3, 8, 8
7, 9, 1
7, 1, 8
1, 0, 6
2, 5, 1
9, 7, 1
7, 4, 19
2, 7, 2
9, 5, 3
6, 2, 4
0, 1, 10
3, 7, 0
8, 7, 0
1, 3, 11
1, 4, 11
1, 8, 3
2, 3, 11
9, 6, 3
5, 3, 2
4, 8, 8
5, 7, 1
2, 8, 5
2, 6, 1
1, 7, 0
4, 6, 2
7, 5, 2
8, 6, 0
9, 2, 1
6, 8, 7
5, 4, 14
5, 8, 5
0, 2, 4
0, 4, 8
8, 9, 3
1, 9, 4
4, 9, 2
5, 9, 5
4, 7, 0
6, 1, 5
1, 5, 0
3, 5, 0
5, 2, 0
4, 2, 2
3, 0, 16
4, 5, 4
6, 9, 2
0, 8, 7
0, 5, 0
2, 1, 8
9, 1, 9
9, 8, 4
5, 0, 1
6, 5, 1
0, 7, 1
7, 8, 3
0, 6, 1
8, 3, 14
8, 5, 1
0, 9, 6
3, 9, 6
7, 0, 3
3, 6, 1
