winner, loser, victorycount
0, 4, 9
0, 1, 9
0, 5, 0
1, 3, 0
1, 9, 8
8, 5, 0
6, 7, 0
4, 8, 0
9, 0, 0
8, 7, 0
2, 6, 7
9, 1, 5
4, 2, 0
7, 1, 14
3, 4, 12
6, 5, 0
7, 3, 21
5, 8, 13
6, 4, 4
0, 2, 0
5, 7, 8
4, 7, 0
9, 8, 0
9, 2, 0
7, 8, 9
5, 3, 4
5, 0, 5
2, 8, 5
0, 3, 0
5, 9, 11
7, 9, 7
2, 4, 8
9, 4, 0
7, 0, 10
6, 9, 12
0, 6, 0
4, 5, 0
5, 1, 18
3, 5, 0
6, 8, 13
7, 6, 13
9, 5, 0
7, 5, 4
8, 2, 0
5, 6, 5
4, 9, 10
9, 7, 0
4, 0, 5
2, 3, 10
0, 9, 7
9, 3, 0
0, 7, 0
1, 6, 0
6, 2, 2
4, 3, 0
2, 5, 0
1, 0, 0
2, 0, 12
6, 0, 7
2, 9, 5
5, 2, 18
2, 7, 0
6, 3, 5
3, 8, 0
1, 4, 0
7, 4, 14
1, 8, 0
1, 5, 0
1, 7, 0
4, 1, 7
0, 8, 0
3, 0, 16
1, 2, 0
8, 3, 6
8, 9, 6
3, 7, 0
5, 4, 13
4, 6, 0
3, 6, 0
6, 1, 9
3, 9, 11
8, 0, 11
9, 6, 0
8, 4, 7
8, 6, 0
2, 1, 3
8, 1, 9
7, 2, 14
3, 1, 9
3, 2, 0
