approaching, opponent, attackcount
4, 7, 2
7, 6, 6
2, 8, 7
1, 3, 5
7, 4, 4
5, 4, 7
0, 9, 5
0, 6, 4
9, 3, 5
9, 5, 12
4, 5, 7
7, 8, 3
8, 6, 2
9, 1, 6
8, 0, 4
3, 0, 4
4, 3, 7
9, 0, 2
5, 0, 1
4, 1, 2
9, 2, 8
2, 6, 4
5, 6, 5
0, 2, 2
0, 3, 9
6, 1, 6
8, 4, 5
1, 6, 6
8, 1, 4
9, 4, 7
5, 8, 5
5, 2, 0
5, 3, 8
7, 3, 2
3, 9, 4
1, 4, 7
1, 8, 10
2, 0, 5
3, 7, 2
6, 8, 5
4, 0, 1
8, 5, 4
1, 5, 6
2, 3, 6
6, 4, 7
0, 1, 10
6, 7, 6
4, 2, 2
2, 5, 3
5, 9, 5
2, 1, 7
0, 7, 7
7, 2, 4
3, 5, 2
6, 5, 4
7, 0, 4
9, 8, 6
4, 9, 6
3, 2, 6
5, 1, 2
9, 6, 11
7, 9, 3
8, 3, 0
6, 9, 6
8, 9, 4
1, 7, 3
0, 8, 8
4, 8, 8
4, 6, 4
3, 1, 5
1, 9, 1
2, 4, 3
3, 6, 4
9, 7, 7
1, 0, 5
0, 5, 1
2, 7, 2
2, 9, 6
3, 4, 8
6, 3, 11
7, 1, 12
5, 7, 5
8, 7, 6
8, 2, 6
6, 0, 2
3, 8, 5
1, 2, 2
0, 4, 9
7, 5, 2
6, 2, 4
