self, opp, fightsavoided
0, 4, 5
2, 9, 11
9, 7, 2
8, 5, 5
4, 7, 3
2, 3, 12
9, 0, 2
5, 6, 6
1, 7, 10
0, 5, 8
9, 3, 13
6, 2, 3
2, 0, 2
1, 8, 6
2, 5, 2
7, 6, 7
6, 5, 4
2, 7, 7
9, 8, 4
6, 8, 5
9, 2, 4
8, 7, 2
4, 9, 3
7, 0, 4
4, 2, 2
4, 3, 1
2, 6, 1
4, 1, 2
8, 1, 1
3, 9, 5
0, 1, 6
3, 0, 1
3, 2, 8
4, 5, 4
1, 6, 3
3, 7, 12
9, 6, 7
5, 9, 6
2, 1, 4
1, 9, 7
7, 5, 4
7, 1, 8
5, 3, 4
8, 0, 2
4, 0, 6
5, 0, 1
0, 9, 10
2, 8, 6
9, 4, 3
3, 5, 6
5, 1, 7
0, 3, 0
5, 8, 3
3, 4, 7
1, 4, 8
4, 8, 2
7, 8, 5
1, 5, 4
6, 1, 3
6, 3, 5
7, 9, 4
5, 7, 7
0, 7, 3
1, 0, 6
7, 4, 5
6, 0, 3
3, 1, 8
2, 4, 4
4, 6, 2
3, 6, 7
9, 5, 4
0, 2, 4
8, 2, 2
7, 3, 1
6, 4, 4
8, 3, 7
8, 4, 4
5, 2, 8
0, 8, 3
1, 2, 8
6, 9, 9
8, 6, 7
1, 3, 8
0, 6, 6
6, 7, 9
7, 2, 6
9, 1, 4
8, 9, 4
3, 8, 5
5, 4, 4
