winner, loser, victorycount
3, 5, 5
8, 1, 4
4, 8, 10
9, 7, 7
7, 9, 5
4, 6, 6
5, 8, 4
1, 2, 7
3, 8, 8
9, 6, 4
9, 4, 7
7, 5, 3
8, 7, 4
5, 2, 3
5, 1, 4
4, 5, 3
4, 2, 3
4, 7, 3
4, 1, 2
2, 4, 5
8, 4, 6
3, 0, 6
4, 0, 5
7, 8, 6
9, 3, 7
3, 4, 7
7, 0, 6
4, 3, 3
5, 4, 1
2, 9, 3
3, 9, 3
1, 8, 5
9, 8, 9
8, 5, 2
3, 6, 4
2, 1, 3
6, 7, 6
7, 3, 5
0, 5, 4
0, 2, 2
7, 4, 7
6, 1, 2
3, 7, 2
0, 3, 5
8, 9, 8
6, 4, 3
2, 5, 4
2, 8, 4
8, 6, 10
6, 2, 10
5, 7, 2
5, 6, 11
2, 6, 10
7, 2, 2
7, 1, 4
9, 1, 5
2, 0, 5
2, 3, 7
6, 8, 2
9, 5, 1
9, 2, 3
6, 5, 7
0, 9, 7
1, 7, 5
1, 0, 11
8, 3, 8
3, 1, 6
5, 0, 3
8, 0, 3
1, 6, 6
5, 3, 5
1, 9, 3
0, 6, 6
3, 2, 3
9, 0, 7
0, 4, 8
1, 3, 1
6, 3, 7
6, 0, 5
0, 1, 4
2, 7, 9
6, 9, 5
7, 6, 8
1, 4, 4
4, 9, 1
1, 5, 5
8, 2, 6
5, 9, 2
0, 8, 4
0, 7, 4
