approaching, opponent, attackcount
9, 5, 4
1, 7, 5
3, 9, 1
4, 7, 4
9, 7, 4
3, 2, 3
7, 5, 5
4, 2, 3
6, 9, 6
4, 5, 9
3, 0, 2
2, 0, 7
5, 9, 3
3, 6, 3
5, 3, 5
0, 8, 3
1, 4, 9
1, 0, 9
5, 7, 6
8, 0, 4
1, 8, 7
0, 7, 4
0, 4, 6
6, 0, 5
5, 0, 3
2, 5, 3
7, 6, 1
7, 9, 5
0, 3, 6
0, 1, 12
9, 3, 2
1, 6, 3
6, 1, 6
9, 6, 3
1, 5, 4
3, 1, 4
5, 8, 11
5, 2, 8
8, 9, 4
2, 3, 2
4, 6, 2
4, 3, 3
9, 4, 1
8, 2, 7
2, 9, 9
8, 4, 9
2, 4, 4
6, 2, 7
6, 4, 2
3, 4, 4
5, 1, 8
2, 8, 2
4, 1, 8
8, 1, 5
3, 5, 6
0, 9, 10
7, 1, 8
6, 8, 6
6, 3, 6
8, 5, 6
0, 2, 7
9, 8, 3
4, 8, 9
7, 0, 3
4, 9, 5
7, 2, 6
5, 6, 7
2, 6, 3
8, 7, 4
8, 3, 3
4, 0, 3
5, 4, 9
2, 7, 3
8, 6, 1
1, 2, 4
1, 9, 1
3, 7, 7
0, 5, 3
6, 5, 5
7, 3, 3
7, 8, 7
3, 8, 1
0, 6, 2
9, 1, 6
9, 2, 8
9, 0, 12
6, 7, 6
1, 3, 2
7, 4, 5
2, 1, 5
