self, opp, fightsavoided
0, 5, 8
8, 4, 9
2, 8, 11
7, 8, 6
2, 9, 1
0, 2, 2
3, 4, 12
5, 2, 1
4, 0, 10
6, 1, 0
5, 4, 12
8, 1, 1
6, 5, 5
8, 3, 6
2, 7, 4
2, 4, 6
3, 0, 14
7, 6, 4
7, 9, 0
8, 7, 4
3, 9, 7
5, 0, 11
1, 3, 11
9, 0, 3
3, 8, 7
6, 9, 3
9, 7, 6
2, 3, 7
4, 5, 10
1, 7, 4
8, 5, 10
6, 3, 2
6, 4, 9
3, 2, 5
4, 9, 2
2, 0, 4
0, 1, 1
4, 3, 5
6, 7, 3
3, 6, 6
6, 8, 9
5, 1, 4
2, 1, 4
3, 1, 5
8, 2, 0
0, 3, 8
1, 2, 4
9, 8, 11
4, 1, 1
7, 3, 4
5, 6, 5
9, 6, 5
2, 5, 1
5, 7, 3
9, 4, 5
0, 7, 4
8, 0, 6
0, 4, 7
9, 1, 2
8, 6, 4
4, 7, 5
1, 6, 3
1, 5, 3
9, 5, 4
1, 0, 6
2, 6, 8
5, 8, 7
7, 0, 13
7, 4, 8
3, 5, 1
0, 8, 9
1, 4, 7
8, 9, 1
7, 1, 2
5, 9, 1
4, 6, 4
3, 7, 1
6, 0, 2
1, 8, 2
9, 3, 3
6, 2, 3
9, 2, 3
5, 3, 3
1, 9, 0
0, 9, 4
4, 8, 7
0, 6, 3
4, 2, 0
7, 5, 9
7, 2, 4
