winner, loser, victorycount
4, 6, 4
8, 3, 4
7, 9, 7
2, 6, 2
6, 1, 6
7, 3, 14
6, 2, 3
5, 7, 3
2, 7, 13
6, 7, 4
1, 4, 5
1, 8, 9
3, 4, 5
5, 4, 5
9, 2, 6
8, 7, 2
7, 8, 9
8, 9, 2
0, 6, 2
6, 9, 6
7, 1, 4
6, 4, 2
5, 9, 4
4, 1, 4
5, 2, 4
8, 0, 3
1, 3, 7
4, 3, 10
0, 2, 2
9, 0, 3
4, 5, 6
9, 6, 1
7, 6, 3
0, 3, 6
2, 3, 4
7, 4, 4
9, 1, 5
1, 2, 1
9, 5, 2
4, 8, 7
1, 7, 5
9, 3, 6
3, 2, 3
3, 7, 9
2, 5, 6
5, 1, 12
8, 1, 1
2, 0, 5
3, 8, 11
0, 7, 3
8, 5, 2
8, 4, 2
0, 5, 7
3, 6, 5
6, 5, 5
5, 3, 6
9, 4, 3
8, 2, 0
9, 8, 9
3, 5, 2
0, 9, 2
1, 9, 6
1, 6, 3
2, 1, 7
8, 6, 2
9, 7, 5
1, 0, 7
4, 7, 12
2, 4, 3
0, 4, 4
0, 1, 3
4, 0, 3
4, 2, 3
7, 0, 5
6, 8, 9
3, 9, 2
7, 5, 5
6, 3, 7
4, 9, 3
2, 9, 3
2, 8, 9
1, 5, 0
5, 6, 4
6, 0, 7
5, 8, 8
5, 0, 7
0, 8, 11
7, 2, 4
3, 0, 6
3, 1, 5
