approaching, opponent, attackcount
6, 3, 5
2, 7, 2
9, 1, 4
6, 7, 2
5, 2, 1
4, 6, 2
1, 3, 0
8, 6, 0
5, 6, 2
9, 2, 2
4, 1, 4
3, 9, 2
5, 0, 6
7, 1, 3
8, 3, 3
1, 7, 1
7, 8, 14
5, 3, 0
8, 7, 7
5, 1, 3
2, 3, 0
9, 0, 3
8, 9, 3
9, 4, 0
1, 4, 3
2, 5, 15
4, 9, 1
2, 8, 10
0, 5, 15
1, 2, 4
9, 7, 3
0, 9, 4
4, 8, 14
2, 6, 4
0, 6, 3
6, 8, 9
8, 5, 20
1, 9, 2
8, 0, 9
1, 8, 13
9, 8, 13
4, 3, 3
6, 2, 1
4, 5, 13
4, 0, 8
0, 8, 10
3, 2, 4
0, 3, 5
1, 0, 4
6, 5, 14
2, 0, 7
3, 8, 14
3, 5, 19
4, 2, 2
1, 6, 3
2, 1, 5
0, 4, 1
3, 7, 0
0, 7, 2
5, 8, 13
9, 5, 17
6, 1, 2
7, 6, 0
3, 4, 3
5, 4, 4
8, 2, 2
9, 6, 2
7, 4, 2
2, 9, 2
2, 4, 0
0, 1, 3
7, 9, 4
4, 7, 2
7, 5, 17
6, 4, 0
5, 7, 4
5, 9, 0
9, 3, 4
3, 0, 6
8, 4, 3
7, 3, 1
3, 1, 1
8, 1, 4
0, 2, 2
6, 9, 1
7, 2, 5
6, 0, 5
7, 0, 5
3, 6, 1
1, 5, 9
