self, opp, fightsavoided
7, 2, 3
7, 0, 9
6, 4, 6
2, 8, 5
4, 3, 8
0, 1, 5
6, 9, 8
2, 7, 5
6, 2, 11
7, 8, 9
2, 6, 4
4, 2, 5
3, 5, 0
1, 6, 3
3, 9, 4
0, 2, 3
8, 7, 2
8, 5, 1
6, 7, 3
7, 4, 1
0, 4, 1
0, 8, 8
7, 6, 2
3, 7, 4
8, 6, 4
8, 0, 4
0, 5, 0
8, 1, 16
5, 2, 13
9, 4, 5
2, 9, 1
3, 2, 2
1, 3, 4
1, 5, 0
5, 4, 2
0, 6, 6
2, 0, 17
6, 3, 5
3, 4, 2
5, 1, 8
7, 3, 5
5, 0, 5
1, 7, 1
9, 7, 0
8, 4, 0
4, 9, 10
5, 3, 5
5, 8, 8
4, 1, 9
0, 9, 7
6, 5, 2
9, 0, 7
4, 5, 2
5, 9, 5
4, 7, 3
6, 0, 5
4, 8, 6
6, 8, 10
3, 1, 9
9, 1, 3
5, 7, 1
3, 6, 5
6, 1, 3
0, 7, 6
1, 9, 17
9, 8, 5
1, 8, 4
7, 1, 10
4, 6, 3
0, 3, 8
9, 5, 1
2, 5, 6
9, 3, 4
4, 0, 7
9, 2, 3
2, 3, 1
8, 2, 9
1, 4, 3
2, 1, 7
8, 3, 9
1, 0, 3
7, 9, 5
3, 8, 7
7, 5, 1
1, 2, 2
3, 0, 4
8, 9, 2
9, 6, 10
5, 6, 3
2, 4, 0
