winner, loser, victorycount
9, 0, 7
0, 4, 0
2, 8, 12
1, 9, 0
7, 1, 1
6, 8, 9
1, 0, 7
7, 5, 21
9, 6, 1
1, 2, 5
2, 4, 0
6, 2, 5
1, 8, 17
8, 1, 0
3, 8, 17
4, 8, 17
4, 1, 7
0, 3, 0
3, 6, 0
7, 4, 0
7, 3, 0
4, 2, 2
9, 7, 7
8, 6, 0
1, 5, 12
2, 6, 0
9, 1, 6
9, 8, 16
9, 3, 6
5, 3, 0
6, 5, 16
5, 9, 0
3, 5, 19
7, 2, 2
0, 2, 0
0, 6, 0
1, 6, 0
1, 7, 3
4, 9, 0
8, 7, 0
4, 5, 17
3, 7, 1
5, 7, 0
5, 6, 0
6, 1, 5
8, 3, 0
4, 3, 3
5, 1, 0
4, 0, 9
2, 0, 9
8, 2, 0
5, 4, 0
0, 5, 21
3, 2, 4
5, 2, 0
8, 4, 0
9, 4, 1
8, 9, 0
3, 4, 3
0, 9, 0
6, 0, 8
2, 9, 0
5, 8, 0
3, 9, 0
7, 0, 7
9, 5, 17
2, 3, 0
1, 3, 0
3, 0, 11
7, 8, 21
4, 6, 0
7, 6, 0
4, 7, 4
0, 1, 0
0, 7, 0
8, 5, 33
9, 2, 4
2, 5, 16
6, 9, 2
6, 7, 2
3, 1, 1
5, 0, 0
2, 1, 4
2, 7, 5
8, 0, 0
6, 3, 6
1, 4, 0
6, 4, 2
7, 9, 0
0, 8, 19
