approaching, opponent, attackcount
5, 4, 5
6, 5, 5
7, 0, 1
3, 9, 4
5, 9, 2
1, 0, 1
6, 0, 1
2, 0, 3
8, 2, 10
1, 7, 6
6, 9, 2
5, 3, 5
5, 7, 8
9, 7, 10
8, 3, 2
6, 2, 7
0, 1, 5
4, 2, 13
8, 1, 7
6, 7, 6
0, 2, 8
3, 0, 7
5, 1, 6
4, 1, 10
7, 1, 14
4, 3, 2
0, 7, 5
7, 4, 1
5, 2, 13
0, 4, 2
0, 5, 5
2, 8, 4
2, 9, 4
3, 8, 7
2, 6, 5
4, 9, 4
9, 8, 2
1, 2, 13
1, 5, 6
4, 8, 5
9, 2, 9
4, 7, 4
3, 4, 0
9, 6, 1
3, 5, 1
2, 7, 6
1, 6, 3
6, 1, 11
6, 4, 0
2, 5, 7
0, 3, 3
1, 9, 1
6, 3, 1
8, 6, 1
8, 0, 2
2, 3, 5
7, 6, 4
3, 2, 9
1, 4, 4
2, 4, 3
4, 6, 4
9, 3, 1
1, 3, 4
7, 8, 6
3, 7, 4
9, 5, 8
8, 7, 7
8, 9, 3
9, 0, 3
3, 1, 10
3, 6, 6
5, 8, 2
4, 5, 6
7, 3, 2
0, 8, 8
5, 0, 3
5, 6, 1
9, 1, 10
7, 2, 13
8, 5, 5
0, 9, 4
8, 4, 0
2, 1, 16
7, 9, 5
7, 5, 5
6, 8, 2
1, 8, 0
0, 6, 2
4, 0, 5
9, 4, 4
