self, opp, fightsavoided
3, 7, 3
8, 9, 1
2, 6, 5
4, 6, 7
7, 2, 4
6, 0, 4
5, 4, 2
3, 0, 7
5, 9, 5
0, 9, 1
3, 9, 6
6, 2, 5
6, 3, 6
3, 8, 4
9, 3, 0
5, 2, 4
4, 2, 9
9, 6, 4
8, 2, 2
9, 0, 5
3, 1, 3
5, 7, 5
4, 8, 9
0, 2, 4
1, 4, 9
0, 8, 8
8, 0, 5
4, 9, 3
9, 4, 6
5, 3, 0
9, 5, 9
5, 8, 7
2, 7, 7
6, 8, 4
0, 1, 3
8, 6, 1
3, 6, 3
1, 9, 1
8, 3, 2
1, 2, 9
2, 1, 5
4, 1, 2
7, 6, 2
2, 9, 0
7, 8, 7
0, 6, 8
4, 7, 1
6, 7, 1
1, 8, 4
7, 3, 5
9, 2, 5
2, 4, 3
2, 8, 6
2, 3, 0
7, 5, 11
0, 5, 6
4, 0, 4
2, 0, 6
8, 1, 5
8, 7, 2
2, 5, 8
6, 9, 5
6, 5, 16
3, 4, 3
4, 5, 8
3, 5, 7
7, 4, 11
1, 7, 6
9, 1, 5
0, 3, 3
1, 5, 5
7, 1, 10
1, 6, 5
8, 5, 7
1, 0, 9
7, 9, 3
0, 4, 8
9, 8, 6
6, 1, 7
3, 2, 10
7, 0, 4
4, 3, 3
8, 4, 7
5, 0, 5
5, 6, 8
6, 4, 5
5, 1, 5
0, 7, 4
9, 7, 0
1, 3, 2
