winner, loser, victorycount
9, 0, 15
0, 7, 9
5, 7, 4
4, 8, 1
1, 7, 11
2, 7, 6
9, 8, 5
8, 0, 10
6, 5, 5
4, 6, 4
4, 0, 5
0, 9, 1
4, 9, 0
3, 4, 7
0, 6, 1
2, 1, 5
1, 5, 3
8, 2, 11
7, 9, 4
3, 8, 4
5, 4, 3
6, 0, 13
7, 1, 3
5, 0, 7
1, 4, 7
4, 1, 7
1, 0, 13
1, 3, 2
9, 6, 2
5, 2, 15
2, 3, 2
7, 3, 2
5, 9, 2
2, 6, 3
2, 0, 7
9, 5, 1
3, 1, 2
7, 2, 6
3, 0, 11
4, 2, 6
5, 8, 5
6, 8, 3
8, 6, 1
9, 2, 11
0, 4, 5
5, 3, 1
0, 2, 9
3, 2, 3
1, 2, 10
6, 1, 2
6, 3, 7
1, 9, 2
7, 0, 9
8, 9, 2
8, 5, 5
2, 8, 4
8, 1, 4
9, 4, 3
3, 6, 4
6, 9, 1
2, 5, 6
8, 7, 8
3, 7, 12
4, 7, 11
2, 9, 1
0, 8, 6
8, 4, 3
9, 1, 5
7, 4, 4
3, 9, 3
6, 2, 11
4, 5, 8
6, 4, 2
1, 6, 2
5, 6, 0
5, 1, 4
2, 4, 2
0, 5, 2
0, 3, 4
4, 3, 3
8, 3, 6
1, 8, 4
9, 7, 11
3, 5, 1
6, 7, 5
9, 3, 2
7, 5, 0
7, 8, 1
0, 1, 2
7, 6, 5
