approaching, opponent, attackcount
2, 5, 20
4, 3, 1
6, 9, 5
7, 2, 1
1, 5, 8
1, 4, 3
7, 4, 5
8, 0, 4
1, 6, 4
4, 1, 8
0, 6, 3
5, 9, 6
1, 3, 3
7, 6, 4
3, 5, 10
9, 4, 3
8, 6, 1
6, 8, 1
2, 6, 2
0, 9, 4
8, 7, 2
2, 8, 0
5, 3, 2
0, 2, 3
4, 5, 8
9, 0, 3
5, 4, 5
4, 6, 8
5, 2, 2
0, 7, 3
9, 2, 4
5, 6, 3
6, 1, 20
2, 0, 5
9, 8, 1
8, 9, 4
3, 2, 4
1, 9, 5
4, 2, 2
9, 7, 0
2, 3, 2
8, 2, 2
8, 4, 1
3, 6, 4
7, 1, 11
6, 0, 2
7, 8, 0
5, 7, 3
3, 7, 5
2, 4, 11
7, 5, 12
4, 9, 2
8, 3, 3
6, 7, 1
9, 5, 13
5, 8, 7
0, 1, 24
3, 0, 4
1, 2, 3
7, 9, 1
4, 7, 2
1, 7, 2
1, 0, 4
2, 9, 4
2, 1, 9
1, 8, 2
3, 1, 10
9, 3, 3
9, 6, 1
9, 1, 11
5, 0, 6
0, 4, 1
3, 9, 6
0, 3, 4
2, 7, 4
7, 3, 10
0, 5, 11
6, 2, 1
0, 8, 2
4, 0, 4
4, 8, 1
8, 5, 11
5, 1, 5
3, 4, 4
6, 4, 4
8, 1, 14
3, 8, 1
6, 3, 4
7, 0, 2
6, 5, 16
