self, opp, fightsavoided
6, 2, 7
0, 7, 6
1, 7, 9
4, 5, 3
7, 1, 5
1, 8, 3
2, 8, 3
8, 3, 1
7, 6, 2
8, 0, 6
1, 6, 5
5, 3, 1
0, 3, 4
6, 3, 1
6, 5, 0
8, 6, 5
0, 2, 9
3, 7, 16
3, 2, 8
3, 6, 4
3, 5, 2
8, 9, 4
4, 1, 7
3, 0, 4
0, 5, 3
9, 2, 6
3, 4, 4
6, 9, 10
2, 9, 6
5, 9, 1
4, 0, 2
6, 4, 7
9, 5, 2
2, 0, 2
2, 3, 4
9, 4, 8
3, 8, 7
7, 0, 1
2, 1, 10
5, 1, 0
9, 0, 4
4, 8, 4
4, 9, 5
9, 8, 10
4, 2, 4
6, 0, 1
8, 7, 5
5, 8, 3
0, 9, 7
9, 1, 9
2, 5, 8
1, 9, 5
1, 3, 0
8, 1, 4
5, 4, 6
4, 3, 4
6, 8, 13
5, 0, 7
2, 4, 7
4, 6, 9
0, 4, 4
9, 7, 4
4, 7, 6
8, 5, 3
0, 1, 4
1, 5, 5
3, 9, 5
2, 7, 2
9, 3, 8
7, 3, 2
0, 8, 6
1, 0, 5
5, 6, 2
8, 2, 3
6, 7, 4
5, 7, 2
1, 2, 7
7, 5, 4
1, 4, 9
8, 4, 5
7, 9, 7
3, 1, 3
6, 1, 3
0, 6, 7
7, 2, 8
7, 8, 3
2, 6, 3
9, 6, 10
5, 2, 5
7, 4, 8
