winner, loser, victorycount
5, 6, 4
7, 9, 2
8, 6, 2
2, 9, 1
4, 1, 8
8, 2, 2
4, 2, 1
7, 0, 6
9, 8, 6
3, 2, 2
6, 1, 6
7, 5, 2
5, 9, 4
9, 7, 7
2, 8, 13
8, 4, 2
1, 2, 1
7, 4, 1
6, 3, 6
1, 8, 13
0, 5, 5
1, 7, 7
5, 2, 1
6, 5, 4
4, 6, 3
0, 8, 11
0, 3, 1
7, 8, 14
2, 7, 5
0, 7, 1
9, 0, 13
2, 5, 5
6, 2, 5
2, 3, 4
5, 0, 9
5, 8, 15
7, 1, 2
5, 7, 2
3, 4, 4
4, 5, 2
0, 4, 4
8, 9, 1
8, 0, 14
6, 9, 2
1, 4, 4
7, 6, 0
9, 5, 5
6, 8, 14
8, 7, 4
1, 0, 12
0, 2, 3
3, 8, 15
5, 1, 5
4, 9, 5
2, 6, 2
0, 9, 0
4, 8, 14
2, 4, 1
9, 6, 2
8, 5, 1
3, 7, 1
7, 2, 4
1, 6, 0
3, 9, 3
2, 0, 18
4, 7, 3
3, 5, 0
6, 7, 2
6, 0, 15
1, 3, 3
9, 4, 5
3, 0, 12
1, 9, 0
5, 3, 5
0, 1, 6
3, 6, 2
9, 2, 0
3, 1, 4
2, 1, 5
7, 3, 7
4, 3, 6
5, 4, 4
6, 4, 1
1, 5, 2
9, 3, 4
9, 1, 2
0, 6, 2
8, 3, 3
8, 1, 4
4, 0, 17
