approaching, opponent, attackcount
2, 1, 5
2, 6, 5
1, 9, 2
5, 2, 5
5, 9, 7
2, 0, 2
8, 0, 1
4, 0, 3
3, 4, 6
5, 7, 8
6, 2, 4
4, 1, 8
7, 5, 8
8, 4, 4
6, 9, 3
0, 9, 2
1, 5, 16
6, 1, 1
7, 9, 2
8, 5, 8
7, 4, 5
9, 1, 5
8, 3, 2
9, 8, 1
8, 7, 1
3, 0, 2
4, 3, 8
1, 7, 8
0, 4, 4
7, 6, 2
1, 0, 0
6, 0, 3
5, 0, 16
8, 2, 1
5, 3, 17
4, 5, 9
0, 5, 7
4, 8, 3
9, 7, 3
0, 7, 4
7, 8, 2
3, 8, 2
6, 5, 8
0, 8, 1
2, 5, 8
2, 8, 2
3, 6, 8
4, 6, 1
7, 0, 4
7, 3, 2
0, 3, 3
9, 5, 11
7, 2, 2
4, 9, 3
8, 9, 2
8, 1, 4
8, 6, 1
3, 9, 6
5, 8, 8
3, 2, 9
9, 6, 3
2, 7, 3
1, 6, 3
2, 4, 3
9, 4, 4
3, 1, 9
6, 7, 1
9, 3, 4
6, 8, 3
6, 3, 6
9, 2, 4
5, 4, 12
4, 7, 0
3, 7, 7
1, 4, 5
4, 2, 4
1, 3, 6
1, 8, 7
5, 1, 11
5, 6, 13
9, 0, 1
0, 2, 4
0, 1, 3
3, 5, 21
1, 2, 4
6, 4, 4
0, 6, 4
7, 1, 2
2, 3, 7
2, 9, 4
