self, opp, fightsavoided
2, 3, 11
5, 4, 0
2, 6, 12
2, 0, 3
3, 8, 0
9, 4, 5
8, 6, 6
3, 9, 0
3, 1, 5
3, 4, 0
0, 1, 5
5, 3, 0
6, 4, 6
4, 5, 13
1, 7, 4
4, 7, 1
9, 7, 2
1, 9, 2
7, 0, 3
4, 9, 3
0, 8, 5
9, 5, 13
1, 5, 2
0, 4, 6
3, 7, 1
8, 0, 7
0, 6, 8
6, 2, 5
9, 8, 5
5, 9, 0
4, 6, 6
0, 5, 19
3, 5, 2
6, 5, 10
2, 1, 5
1, 4, 3
4, 1, 10
1, 6, 6
9, 0, 5
6, 0, 10
2, 7, 4
5, 2, 0
4, 3, 6
0, 7, 4
7, 4, 4
7, 3, 5
7, 5, 24
5, 1, 0
7, 8, 4
8, 3, 8
9, 6, 1
5, 8, 0
7, 6, 5
1, 3, 9
0, 2, 4
6, 8, 6
8, 9, 2
9, 2, 1
8, 2, 5
8, 1, 6
3, 2, 1
7, 2, 3
8, 5, 12
1, 2, 6
2, 5, 14
3, 0, 3
8, 4, 4
7, 1, 7
6, 9, 0
1, 0, 2
5, 0, 0
4, 8, 4
2, 8, 9
2, 4, 7
6, 3, 9
3, 6, 3
1, 8, 4
4, 2, 8
0, 3, 3
7, 9, 6
6, 7, 2
0, 9, 1
2, 9, 4
5, 7, 0
4, 0, 0
6, 1, 5
9, 1, 2
5, 6, 0
8, 7, 4
9, 3, 20
