winner, loser, victorycount
5, 4, 1
5, 3, 0
5, 6, 0
3, 2, 24
1, 8, 0
2, 8, 0
9, 1, 0
3, 6, 18
0, 5, 13
9, 2, 0
6, 0, 5
8, 6, 8
9, 8, 0
1, 3, 0
9, 3, 0
5, 1, 6
5, 7, 0
7, 0, 0
6, 7, 16
4, 1, 4
1, 2, 2
6, 8, 6
3, 9, 11
4, 8, 0
2, 0, 0
9, 4, 0
3, 0, 29
7, 6, 0
7, 5, 3
0, 8, 4
8, 9, 6
5, 2, 11
5, 0, 0
3, 5, 18
9, 7, 0
1, 9, 1
8, 5, 6
4, 9, 9
6, 5, 9
7, 4, 3
6, 3, 0
9, 5, 0
6, 2, 4
1, 5, 0
6, 9, 10
0, 2, 5
4, 3, 0
7, 1, 6
0, 7, 15
8, 2, 8
5, 9, 4
8, 3, 0
2, 6, 0
6, 1, 9
0, 6, 5
4, 7, 0
2, 4, 0
3, 1, 14
4, 5, 3
1, 7, 0
3, 4, 19
4, 0, 0
4, 6, 0
8, 0, 3
3, 8, 31
2, 9, 1
0, 3, 0
1, 0, 0
8, 1, 4
6, 4, 9
4, 2, 6
0, 4, 9
7, 3, 0
7, 8, 0
2, 7, 0
7, 9, 9
7, 2, 9
2, 5, 0
3, 7, 19
9, 6, 0
8, 7, 7
0, 1, 13
0, 9, 10
1, 4, 0
8, 4, 5
2, 1, 0
1, 6, 0
2, 3, 0
9, 0, 0
5, 8, 0
