approaching, opponent, attackcount
2, 8, 3
4, 7, 1
8, 4, 2
0, 4, 3
6, 1, 11
6, 4, 4
7, 1, 5
3, 8, 8
5, 1, 2
5, 4, 4
9, 3, 4
0, 9, 8
9, 4, 3
2, 3, 9
1, 7, 10
4, 9, 4
3, 2, 4
3, 0, 3
4, 3, 4
9, 7, 7
9, 8, 8
8, 9, 3
2, 0, 3
1, 5, 12
8, 1, 5
9, 1, 9
9, 2, 6
4, 2, 3
7, 0, 9
4, 1, 3
5, 2, 4
0, 5, 2
1, 0, 5
6, 2, 5
6, 8, 5
4, 6, 8
7, 9, 5
5, 0, 5
3, 1, 2
9, 6, 6
7, 4, 3
5, 9, 4
0, 7, 4
2, 1, 6
2, 7, 8
6, 9, 5
0, 8, 2
1, 8, 9
2, 9, 2
1, 6, 7
0, 6, 7
1, 9, 3
3, 9, 7
2, 5, 5
8, 3, 4
4, 0, 2
7, 5, 7
7, 2, 5
5, 3, 4
5, 6, 4
3, 7, 4
9, 5, 2
8, 2, 1
8, 6, 6
0, 3, 3
6, 3, 5
3, 6, 5
6, 0, 7
5, 7, 1
5, 8, 7
1, 4, 13
0, 2, 3
0, 1, 6
2, 4, 4
8, 5, 2
2, 6, 3
8, 0, 0
1, 3, 8
7, 3, 0
4, 8, 2
8, 7, 10
7, 8, 1
9, 0, 9
6, 7, 7
7, 6, 8
3, 4, 6
6, 5, 7
4, 5, 2
1, 2, 9
3, 5, 4
