self, opp, fightsavoided
9, 7, 6
8, 6, 4
4, 0, 7
7, 1, 6
0, 3, 4
7, 4, 8
1, 4, 5
6, 5, 3
6, 7, 11
1, 0, 7
4, 5, 5
0, 4, 3
6, 8, 6
0, 2, 3
1, 5, 0
2, 4, 6
0, 8, 3
9, 4, 5
7, 5, 7
1, 8, 3
2, 6, 4
7, 3, 8
8, 4, 3
3, 1, 4
8, 9, 5
9, 3, 4
6, 1, 5
0, 9, 5
1, 7, 6
4, 7, 2
5, 3, 9
7, 6, 2
3, 8, 0
6, 9, 7
3, 2, 3
9, 0, 2
6, 4, 1
4, 3, 10
0, 6, 1
4, 1, 8
9, 6, 4
2, 9, 12
6, 3, 4
6, 0, 3
5, 6, 3
1, 2, 0
2, 5, 3
2, 8, 10
5, 2, 5
5, 1, 5
4, 9, 4
3, 6, 9
9, 1, 4
7, 8, 4
7, 9, 6
0, 7, 1
5, 9, 8
0, 5, 5
8, 2, 5
4, 2, 5
4, 8, 7
7, 2, 4
6, 2, 5
8, 3, 3
4, 6, 6
1, 9, 10
2, 7, 3
1, 6, 5
8, 5, 4
3, 0, 7
7, 0, 4
9, 5, 4
5, 4, 2
3, 5, 5
9, 8, 7
5, 7, 8
5, 8, 2
8, 7, 9
1, 3, 4
3, 9, 3
3, 4, 6
2, 3, 1
8, 1, 12
9, 2, 5
0, 1, 4
8, 0, 12
2, 0, 4
2, 1, 6
3, 7, 4
5, 0, 3
