winner, loser, victorycount
0, 5, 4
9, 0, 9
0, 1, 5
6, 7, 5
5, 7, 0
2, 3, 6
1, 8, 4
2, 7, 6
4, 6, 3
7, 4, 4
2, 6, 7
2, 5, 6
0, 8, 5
5, 0, 5
8, 4, 5
1, 3, 4
2, 8, 4
8, 0, 5
3, 6, 4
7, 5, 9
0, 7, 3
6, 2, 6
0, 2, 7
7, 8, 6
4, 1, 4
1, 0, 6
4, 2, 3
9, 5, 6
8, 2, 4
7, 1, 5
5, 3, 8
5, 2, 2
8, 5, 4
2, 4, 7
9, 1, 8
0, 3, 4
7, 3, 6
3, 0, 4
4, 3, 6
0, 6, 7
9, 3, 7
2, 9, 5
0, 9, 6
4, 7, 4
9, 2, 2
9, 7, 7
3, 8, 3
6, 5, 8
1, 5, 6
6, 4, 2
6, 8, 8
1, 6, 4
6, 0, 1
0, 4, 6
1, 7, 2
5, 1, 10
9, 6, 6
8, 6, 5
4, 5, 1
9, 8, 11
5, 4, 2
7, 0, 7
4, 9, 3
8, 7, 9
9, 4, 3
5, 6, 1
8, 9, 3
2, 1, 4
4, 8, 2
6, 1, 5
3, 4, 2
1, 4, 5
3, 9, 6
7, 6, 4
7, 2, 6
5, 9, 7
8, 1, 4
6, 3, 8
3, 7, 5
8, 3, 7
6, 9, 6
1, 9, 5
1, 2, 6
7, 9, 7
3, 1, 2
5, 8, 2
2, 0, 6
4, 0, 6
3, 2, 4
3, 5, 3
