approaching, opponent, attackcount
1, 0, 14
4, 6, 1
7, 4, 2
3, 2, 4
9, 6, 8
2, 4, 3
4, 9, 3
3, 9, 3
6, 8, 9
2, 7, 2
0, 5, 3
4, 8, 5
2, 9, 2
9, 1, 3
1, 6, 7
6, 0, 8
0, 4, 3
6, 1, 6
8, 7, 6
5, 8, 5
6, 7, 7
9, 7, 6
1, 4, 5
2, 8, 3
0, 2, 5
1, 7, 7
7, 6, 4
7, 0, 4
0, 9, 3
3, 6, 5
4, 2, 3
0, 3, 2
6, 4, 7
6, 3, 13
3, 1, 5
1, 2, 8
5, 6, 5
8, 6, 8
2, 3, 3
2, 1, 4
4, 3, 3
8, 4, 2
1, 3, 14
3, 4, 3
2, 5, 4
0, 7, 4
9, 8, 6
1, 8, 4
5, 7, 2
8, 5, 9
7, 5, 3
6, 2, 7
4, 5, 4
4, 7, 2
7, 2, 3
1, 9, 4
9, 3, 2
7, 8, 4
0, 6, 8
7, 9, 2
8, 0, 11
3, 0, 6
9, 5, 3
4, 1, 5
7, 3, 3
3, 8, 6
5, 2, 4
6, 9, 9
8, 1, 5
9, 0, 3
5, 3, 1
2, 0, 4
3, 7, 4
5, 1, 5
5, 4, 2
6, 5, 4
8, 2, 9
4, 0, 2
8, 3, 8
3, 5, 6
1, 5, 7
7, 1, 6
5, 9, 4
0, 8, 10
9, 4, 3
2, 6, 6
8, 9, 7
5, 0, 4
0, 1, 7
9, 2, 2
