self, opp, fightsavoided
3, 0, 5
1, 5, 5
5, 6, 5
2, 3, 4
5, 2, 7
7, 3, 4
9, 5, 1
9, 0, 2
9, 1, 2
7, 2, 9
1, 4, 5
1, 9, 3
6, 0, 6
4, 7, 2
9, 4, 7
6, 3, 2
0, 2, 7
6, 9, 8
4, 8, 5
1, 2, 8
3, 7, 4
1, 0, 11
5, 1, 6
0, 4, 5
5, 3, 6
9, 6, 0
5, 9, 5
8, 3, 4
3, 2, 8
2, 7, 7
6, 4, 4
3, 1, 6
7, 9, 10
6, 5, 4
6, 7, 2
4, 1, 1
1, 7, 2
0, 3, 4
7, 1, 3
0, 6, 2
3, 9, 6
9, 8, 4
2, 1, 7
8, 0, 6
7, 4, 1
7, 6, 6
9, 2, 4
2, 8, 0
4, 0, 10
3, 4, 8
7, 5, 11
0, 1, 2
4, 9, 7
7, 0, 12
8, 4, 1
2, 9, 4
2, 0, 10
9, 3, 3
4, 6, 10
6, 8, 5
1, 3, 4
9, 7, 2
3, 6, 7
0, 7, 1
8, 5, 1
4, 2, 8
7, 8, 3
5, 7, 7
8, 9, 6
3, 5, 11
5, 8, 4
8, 2, 2
4, 3, 3
1, 6, 3
0, 5, 6
5, 4, 5
0, 9, 7
2, 4, 2
5, 0, 12
8, 6, 3
1, 8, 6
2, 6, 3
6, 1, 4
6, 2, 7
8, 1, 0
2, 5, 8
8, 7, 1
0, 8, 4
4, 5, 6
3, 8, 6
