winner, loser, victorycount
7, 6, 6
5, 1, 3
5, 2, 5
9, 7, 4
9, 8, 2
7, 3, 1
2, 0, 2
9, 3, 2
9, 1, 1
8, 9, 11
2, 1, 4
3, 4, 6
1, 4, 10
8, 6, 7
2, 9, 4
7, 2, 2
1, 3, 13
3, 1, 6
3, 8, 9
1, 9, 6
8, 5, 11
1, 6, 4
5, 9, 2
6, 4, 8
6, 8, 10
4, 1, 0
8, 2, 9
2, 8, 3
5, 4, 6
6, 3, 8
0, 3, 4
7, 4, 2
4, 5, 0
4, 2, 1
6, 9, 14
7, 0, 3
1, 5, 9
3, 9, 3
6, 2, 9
8, 3, 5
1, 8, 6
2, 6, 4
9, 0, 0
2, 4, 5
0, 5, 2
9, 4, 4
3, 7, 6
9, 6, 3
0, 2, 7
5, 3, 2
8, 0, 11
6, 7, 5
4, 7, 2
6, 5, 4
6, 0, 12
0, 1, 10
5, 8, 3
2, 3, 5
9, 5, 5
7, 1, 6
0, 4, 4
3, 5, 5
0, 8, 10
3, 6, 10
4, 3, 0
2, 7, 3
4, 0, 1
6, 1, 9
0, 6, 4
8, 4, 6
1, 2, 8
7, 8, 3
7, 5, 3
3, 2, 2
1, 7, 7
4, 9, 2
5, 6, 5
3, 0, 4
9, 2, 0
7, 9, 4
0, 7, 5
4, 6, 0
4, 8, 1
1, 0, 11
8, 7, 7
8, 1, 3
2, 5, 3
5, 7, 2
0, 9, 6
5, 0, 5
