approaching, opponent, attackcount
2, 0, 2
7, 1, 10
3, 7, 1
3, 1, 1
2, 3, 4
8, 3, 5
7, 2, 15
6, 1, 3
5, 0, 0
1, 8, 2
6, 7, 0
4, 1, 20
9, 5, 3
1, 3, 1
7, 5, 10
2, 9, 1
6, 9, 4
3, 2, 2
8, 7, 5
9, 2, 3
4, 7, 14
7, 8, 22
4, 6, 16
5, 9, 4
0, 9, 3
8, 1, 0
7, 0, 16
0, 1, 3
4, 3, 14
5, 1, 0
9, 6, 2
2, 6, 1
2, 4, 3
0, 8, 3
5, 8, 1
6, 2, 4
5, 4, 4
1, 0, 3
8, 4, 1
6, 4, 8
0, 2, 3
3, 4, 1
7, 3, 14
0, 4, 1
3, 0, 0
8, 9, 5
8, 6, 3
2, 5, 0
9, 4, 2
9, 3, 3
6, 0, 3
9, 8, 4
4, 9, 9
3, 6, 2
1, 5, 5
0, 7, 3
3, 5, 3
5, 6, 4
5, 7, 4
1, 4, 2
6, 8, 1
6, 5, 0
2, 1, 3
8, 2, 1
5, 2, 2
0, 3, 2
7, 9, 10
0, 5, 3
2, 7, 2
7, 4, 16
1, 9, 2
9, 7, 1
2, 8, 2
4, 0, 24
4, 8, 21
9, 0, 2
3, 9, 1
8, 0, 4
0, 6, 1
8, 5, 5
5, 3, 1
1, 6, 2
3, 8, 5
7, 6, 12
9, 1, 3
4, 5, 13
6, 3, 3
1, 7, 7
1, 2, 3
4, 2, 13
