self, opp, fightsavoided
4, 0, 6
8, 9, 6
8, 2, 8
4, 9, 5
3, 4, 0
3, 8, 1
2, 8, 10
0, 3, 2
6, 5, 2
6, 7, 5
1, 2, 3
8, 0, 7
4, 8, 6
0, 4, 2
4, 7, 5
8, 3, 4
1, 5, 10
2, 3, 8
4, 1, 9
2, 5, 8
3, 6, 2
5, 8, 5
9, 8, 4
5, 6, 4
0, 8, 3
9, 4, 7
8, 6, 5
8, 5, 4
1, 9, 3
6, 9, 4
6, 2, 3
2, 7, 8
3, 1, 0
7, 0, 0
9, 7, 2
4, 2, 12
0, 1, 2
2, 1, 3
5, 7, 4
7, 2, 0
3, 5, 1
4, 5, 6
2, 6, 8
9, 5, 5
9, 3, 2
5, 3, 14
6, 0, 8
7, 3, 0
6, 3, 5
7, 6, 0
4, 6, 8
9, 0, 11
6, 4, 11
9, 6, 7
1, 7, 16
5, 0, 6
3, 0, 2
8, 1, 14
7, 5, 0
6, 1, 12
0, 9, 2
7, 4, 0
1, 6, 3
5, 9, 9
2, 4, 7
8, 4, 7
7, 9, 0
1, 4, 7
2, 9, 8
8, 7, 4
7, 8, 0
2, 0, 1
3, 2, 3
0, 7, 1
5, 4, 9
3, 9, 1
5, 2, 10
7, 1, 0
0, 6, 1
9, 1, 5
1, 3, 10
6, 8, 2
1, 8, 12
1, 0, 1
4, 3, 8
0, 2, 2
0, 5, 4
5, 1, 3
3, 7, 3
9, 2, 9
