winner, loser, victorycount
6, 7, 2
7, 1, 0
9, 6, 19
0, 4, 10
8, 2, 4
2, 6, 5
8, 0, 0
8, 9, 0
8, 5, 0
4, 9, 0
6, 5, 0
7, 3, 0
9, 8, 21
7, 0, 0
6, 2, 0
1, 8, 3
6, 4, 0
4, 1, 5
6, 3, 0
1, 3, 3
3, 0, 0
2, 3, 0
7, 4, 0
5, 8, 13
2, 7, 6
2, 0, 0
7, 8, 0
5, 1, 12
7, 2, 0
5, 2, 14
5, 9, 0
6, 1, 0
1, 2, 5
6, 8, 0
1, 4, 0
9, 2, 24
8, 1, 1
0, 2, 14
5, 6, 7
9, 3, 13
5, 7, 8
7, 6, 4
9, 7, 13
0, 1, 13
4, 3, 6
4, 6, 4
8, 6, 6
7, 5, 0
9, 0, 27
0, 3, 11
0, 7, 12
5, 0, 10
9, 4, 17
2, 4, 0
3, 6, 2
1, 9, 0
3, 2, 3
2, 8, 0
4, 5, 0
9, 1, 12
8, 7, 5
0, 6, 9
4, 2, 8
2, 5, 0
8, 3, 3
3, 1, 4
0, 8, 8
3, 8, 2
5, 3, 12
8, 4, 0
6, 9, 0
7, 9, 0
1, 0, 0
3, 9, 0
4, 7, 2
0, 9, 0
4, 8, 10
2, 9, 0
3, 5, 0
4, 0, 0
1, 5, 0
5, 4, 13
9, 5, 18
1, 6, 6
6, 0, 0
3, 4, 0
1, 7, 9
2, 1, 0
3, 7, 5
0, 5, 7
