approaching, opponent, attackcount
2, 6, 4
5, 2, 3
3, 4, 8
5, 1, 1
0, 3, 0
3, 2, 12
0, 5, 2
1, 7, 4
6, 1, 0
2, 1, 2
4, 7, 2
3, 6, 14
5, 9, 2
1, 9, 6
0, 9, 3
6, 5, 2
4, 6, 2
5, 6, 5
7, 9, 7
7, 0, 8
7, 3, 12
3, 7, 11
9, 0, 6
9, 6, 6
3, 8, 22
8, 3, 7
2, 3, 3
6, 0, 3
0, 6, 6
4, 3, 3
5, 8, 5
8, 6, 3
9, 3, 3
2, 0, 6
8, 1, 6
9, 5, 3
2, 8, 4
8, 7, 6
6, 8, 1
7, 8, 10
1, 6, 4
0, 8, 2
8, 9, 2
2, 7, 3
6, 4, 4
4, 2, 4
0, 7, 3
7, 1, 4
8, 0, 4
1, 0, 8
6, 2, 5
6, 3, 0
0, 2, 1
1, 3, 4
1, 8, 2
8, 5, 7
9, 8, 4
1, 5, 4
1, 2, 4
3, 9, 9
6, 7, 3
4, 8, 2
5, 7, 0
8, 2, 5
5, 4, 3
4, 1, 3
7, 5, 10
2, 4, 5
3, 1, 16
4, 5, 4
9, 4, 8
9, 7, 3
9, 1, 6
3, 5, 9
9, 2, 5
8, 4, 3
7, 6, 5
5, 3, 2
5, 0, 2
4, 9, 2
0, 1, 2
0, 4, 8
2, 9, 6
7, 4, 13
6, 9, 4
2, 5, 6
7, 2, 3
3, 0, 14
4, 0, 2
1, 4, 5
