self, opp, fightsavoided
7, 3, 6
2, 4, 10
6, 0, 4
1, 4, 3
7, 6, 8
4, 6, 1
4, 0, 3
0, 6, 7
6, 7, 4
6, 1, 3
5, 0, 3
1, 9, 2
0, 5, 3
4, 5, 4
8, 2, 3
2, 5, 3
6, 2, 6
1, 2, 2
8, 5, 1
5, 6, 2
6, 9, 7
7, 0, 4
3, 9, 2
3, 6, 8
2, 3, 5
3, 8, 3
4, 7, 6
2, 8, 10
6, 5, 2
6, 3, 7
3, 0, 6
9, 5, 6
7, 4, 4
0, 2, 4
5, 3, 10
9, 8, 6
5, 2, 5
9, 4, 4
5, 1, 7
1, 7, 1
4, 1, 3
8, 6, 6
5, 8, 3
7, 5, 10
3, 7, 6
1, 3, 3
7, 2, 4
1, 6, 2
2, 0, 4
1, 5, 2
2, 1, 8
7, 9, 8
6, 8, 6
8, 0, 5
4, 2, 0
8, 3, 2
0, 8, 5
0, 1, 12
7, 8, 11
3, 1, 10
3, 4, 4
0, 4, 12
5, 7, 6
5, 9, 8
9, 1, 7
8, 7, 5
9, 6, 8
9, 0, 9
2, 6, 0
0, 7, 4
3, 5, 3
4, 3, 1
1, 0, 1
0, 3, 8
8, 9, 7
4, 9, 1
1, 8, 0
9, 2, 4
9, 3, 3
6, 4, 11
7, 1, 8
9, 7, 3
2, 7, 5
8, 4, 10
4, 8, 2
0, 9, 12
2, 9, 1
5, 4, 2
8, 1, 2
3, 2, 8
