winner, loser, victorycount
0, 5, 4
1, 9, 6
0, 2, 2
8, 0, 14
6, 1, 1
4, 0, 3
7, 4, 2
3, 5, 1
2, 8, 7
4, 3, 2
3, 6, 1
4, 5, 3
1, 5, 4
6, 8, 5
4, 1, 3
6, 4, 4
3, 7, 1
7, 2, 2
8, 9, 14
5, 8, 3
8, 3, 17
0, 8, 4
9, 5, 4
9, 6, 1
9, 8, 1
2, 5, 1
1, 6, 9
6, 5, 5
0, 3, 3
2, 4, 4
0, 1, 3
8, 7, 17
3, 2, 6
1, 3, 9
7, 5, 3
3, 9, 5
1, 0, 6
1, 7, 5
4, 6, 9
2, 1, 3
7, 8, 3
2, 9, 5
8, 1, 18
1, 8, 6
5, 7, 6
2, 0, 6
7, 9, 6
1, 2, 3
8, 5, 9
5, 3, 5
3, 1, 2
6, 7, 3
0, 9, 4
3, 4, 8
9, 2, 4
9, 4, 1
6, 2, 3
2, 3, 5
9, 1, 2
8, 2, 11
7, 6, 3
9, 0, 0
0, 7, 3
3, 0, 4
2, 6, 3
1, 4, 7
5, 6, 7
6, 9, 11
4, 9, 6
6, 0, 5
5, 4, 4
5, 9, 4
5, 2, 5
0, 6, 3
4, 2, 4
6, 3, 5
3, 8, 7
5, 0, 5
9, 3, 1
8, 4, 9
8, 6, 16
9, 7, 4
7, 3, 5
2, 7, 1
4, 7, 2
7, 0, 4
7, 1, 2
0, 4, 3
4, 8, 3
5, 1, 7
