approaching, opponent, attackcount
8, 9, 2
0, 8, 6
1, 2, 9
7, 4, 2
4, 1, 7
2, 3, 4
6, 9, 2
6, 0, 6
4, 3, 11
6, 5, 2
7, 3, 4
1, 3, 10
0, 2, 5
7, 8, 4
3, 6, 12
9, 0, 2
0, 5, 8
8, 2, 2
5, 1, 2
5, 8, 1
1, 7, 16
7, 0, 2
6, 3, 3
9, 8, 4
3, 2, 6
8, 5, 2
8, 3, 4
2, 5, 2
3, 1, 6
5, 3, 5
1, 9, 5
1, 6, 12
7, 2, 1
3, 0, 12
9, 5, 3
4, 9, 4
3, 4, 5
1, 5, 11
6, 2, 1
3, 8, 10
8, 0, 5
0, 6, 9
8, 4, 3
9, 7, 4
1, 0, 3
2, 0, 1
8, 7, 2
9, 3, 4
7, 9, 0
9, 2, 3
0, 4, 8
9, 4, 4
0, 3, 2
7, 1, 1
5, 2, 2
2, 7, 2
4, 5, 9
9, 6, 5
3, 7, 11
2, 1, 2
6, 4, 1
5, 0, 3
0, 7, 4
6, 1, 4
7, 5, 4
2, 4, 4
4, 8, 9
3, 9, 14
7, 6, 4
4, 2, 7
5, 9, 4
9, 1, 3
2, 8, 2
5, 4, 2
8, 1, 1
4, 0, 9
2, 9, 4
1, 8, 7
2, 6, 1
5, 7, 3
4, 7, 4
0, 1, 13
6, 7, 1
4, 6, 9
8, 6, 4
1, 4, 9
5, 6, 3
3, 5, 8
0, 9, 10
6, 8, 4
