self, opp, fightsavoided
0, 8, 6
5, 1, 8
0, 1, 2
2, 7, 1
3, 8, 8
9, 3, 2
3, 5, 7
9, 0, 2
6, 5, 6
1, 8, 5
1, 5, 1
3, 7, 0
6, 2, 10
7, 8, 7
4, 7, 9
1, 0, 0
5, 8, 7
8, 5, 2
0, 4, 10
7, 2, 2
6, 7, 18
8, 4, 3
7, 9, 3
9, 1, 2
3, 9, 3
2, 3, 4
2, 0, 5
7, 0, 7
0, 6, 7
1, 6, 4
4, 6, 1
6, 1, 8
4, 1, 3
7, 5, 8
2, 5, 5
4, 3, 2
9, 8, 2
0, 7, 5
9, 7, 4
2, 6, 5
5, 4, 5
7, 3, 4
5, 9, 6
5, 6, 7
8, 2, 4
2, 1, 5
6, 8, 5
9, 5, 4
6, 9, 6
0, 3, 7
5, 3, 5
9, 4, 5
4, 8, 5
5, 7, 5
8, 0, 5
4, 5, 5
9, 6, 7
8, 7, 2
6, 4, 8
8, 1, 8
1, 2, 2
4, 9, 10
3, 2, 3
1, 3, 1
5, 2, 4
9, 2, 6
0, 9, 1
2, 8, 2
7, 4, 4
3, 1, 5
4, 0, 1
0, 5, 0
1, 4, 1
6, 3, 6
0, 2, 3
8, 9, 8
7, 6, 12
3, 4, 1
2, 9, 14
1, 9, 2
6, 0, 6
7, 1, 5
2, 4, 4
3, 0, 9
1, 7, 0
8, 3, 12
5, 0, 4
8, 6, 10
4, 2, 7
3, 6, 5
