winner, loser, victorycount
0, 5, 8
3, 0, 4
0, 3, 5
1, 9, 3
7, 2, 4
4, 2, 15
6, 2, 5
5, 3, 0
8, 0, 7
8, 9, 6
6, 9, 4
9, 3, 4
8, 7, 13
1, 7, 10
6, 8, 3
0, 6, 3
2, 9, 2
8, 2, 4
1, 3, 3
4, 0, 9
2, 7, 3
6, 7, 1
3, 8, 3
3, 5, 3
0, 4, 5
9, 1, 1
1, 4, 5
3, 9, 3
9, 5, 4
8, 5, 13
7, 8, 2
5, 8, 1
9, 2, 4
9, 6, 4
3, 4, 3
8, 6, 13
2, 5, 3
8, 1, 10
2, 0, 5
1, 6, 6
8, 4, 7
3, 6, 1
7, 4, 0
6, 5, 7
7, 9, 6
1, 2, 9
2, 3, 3
5, 2, 2
6, 0, 5
5, 9, 1
7, 0, 0
4, 7, 14
2, 1, 2
7, 6, 0
4, 5, 15
2, 4, 2
5, 0, 1
1, 0, 3
9, 8, 3
7, 1, 0
5, 6, 1
0, 9, 5
6, 4, 4
4, 6, 8
2, 8, 1
3, 7, 6
4, 3, 9
5, 7, 2
9, 0, 3
2, 6, 1
0, 8, 9
0, 1, 6
4, 8, 12
0, 7, 10
6, 3, 3
3, 2, 5
8, 3, 13
7, 5, 3
6, 1, 6
9, 4, 2
4, 1, 7
0, 2, 6
9, 7, 2
4, 9, 20
5, 1, 3
1, 8, 8
5, 4, 0
3, 1, 3
1, 5, 7
7, 3, 0
